tax_identifier,average,AsnicarF_2017,AsnicarF_2021,BackhedF_2015,Bengtsson-PalmeJ_2015,BritoIL_2016,BrooksB_2017,ChengpingW_2017,ChuDM_2017,CosteaPI_2017,DavidLA_2015,DeFilippisF_2019,DhakanDB_2019,FengQ_2015,FerrettiP_2018,GopalakrishnanV_2018,GuptaA_2019,HMP_2012,HMP_2019_ibdmdb,HMP_2019_t2d,HallAB_2017,HanniganGD_2017,HansenLBS_2018,Heitz-BuschartA_2016,IjazUZ_2017,JieZ_2017,KarlssonFH_2013,KaurK_2020,KeohaneDM_2020,KieserS_2018,KosticAD_2015,LeChatelierE_2013,LiJ_2014,LiJ_2017,LiSS_2016,LifeLinesDeep_2016,LiuW_2016,LokmerA_2019,LomanNJ_2013,LoombaR_2017,LouisS_2016,MatsonV_2018,MehtaRS_2018,NagySzakalD_2017,NielsenHB_2014,Obregon-TitoAJ_2015,OlmMR_2017,PasolliE_2019,PehrssonE_2016,QinJ_2012,QinN_2014,RampelliS_2015,RaymondF_2016,RosaBA_2018,RubelMA_2020,SankaranarayananK_2015,SchirmerM_2016,ShaoY_2019,SmitsSA_2017,TettAJ_2019_a,TettAJ_2019_b,TettAJ_2019_c,ThomasAM_2018a,ThomasAM_2018b,ThomasAM_2019_c,VatanenT_2016,VilaAV_2018,VincentC_2016,VogtmannE_2016,WampachL_2018,WirbelJ_2018,XieH_2016,YachidaS_2019,YassourM_2016,YassourM_2018,YeZ_2018,YuJ_2015,ZeeviD_2015,ZellerG_2014,ZhuF_2020
Bacteroidia,40.476742525500654,31.43604125,44.871712650273246,41.73549742500001,62.32120128571426,46.60916883720931,4.589691764705882,67.00684288659795,39.445048000000014,45.396669426523275,36.3697540425532,44.50126412371133,60.44013572727276,13.416455844155845,31.261476554621836,73.3020484,59.933050000000016,79.3512130612245,67.17788580208982,59.71882722972975,43.284941312741296,4.762132222222221,28.381394879227045,50.65412245283018,5.629319255319147,43.44685142857144,19.388383586206906,53.01964419354839,33.14401735042736,13.816743333333333,49.00237891666666,51.930766130136966,50.39585296153845,62.970783622448955,21.866461090909098,10.404406969162993,37.888389818181835,33.32250122807018,38.97544738095238,36.33372418604652,64.92448347826087,67.91722461538461,46.338244191810425,68.3434283,48.35975696969693,20.97234482758621,4.4586521621621635,21.970978571428567,21.62336963350786,59.397239146005475,60.94643894514768,40.208851578947375,75.88476402777775,13.207042916666666,57.77051885714287,21.279130540540542,23.747127261146503,12.628997846715334,20.50058325,57.14162808823529,48.35955840909091,41.173827599999996,52.85297912499999,28.56469466666667,52.402409750000004,42.51385440764335,17.51914518309858,42.18105851528387,48.83625981818182,13.585455283018861,38.7571452,47.555856279999986,55.91575681818178,34.983979166666664,31.549420885608864,77.57054984615385,37.00340492187499,47.2788971111111,33.3511155128205,69.43723210526318
Clostridia,32.07311961762367,15.997403125,41.88911074681243,18.13188047499999,32.232435714285714,35.62895406976744,13.17850166666668,23.74895783505153,10.315300615384608,40.34102,8.921762765957448,34.26116824742269,20.767758545454534,53.17995948051947,6.420767226890754,20.043650400000004,14.715679166666666,16.31068700680272,25.016211622618368,28.243977770270273,38.59899235521236,56.21919086419752,54.9645395652174,38.18153735849057,52.75037648936171,36.37203607792208,59.95022841379306,22.00752419354838,48.67372162393164,2.392204444444445,31.668299750000003,38.297115513698614,35.23339476923076,22.002767653061213,56.91984745454546,55.075849550660756,29.28921436363637,39.333437368421045,27.317616428571426,39.21812825581397,24.33038010869565,19.351765641025647,41.92960729525866,24.368103899999998,41.94434098484849,54.560899137931024,2.75765054054054,37.12336589285714,28.72023581151831,26.148579366391182,25.671091518987353,38.249545263157884,17.23461458333332,46.98204375,29.551240285714297,57.039189999999984,51.412104628450145,8.779104373479328,53.06887325000001,25.78236882352941,38.24256999999999,30.81048800000001,23.738381250000003,51.0624485,27.210316499999994,22.1659576942675,50.947792563380276,14.454254978165935,39.643756181818155,10.710605094339623,46.39535399999999,32.08409347999999,27.490865730519467,41.54915277777777,17.001266346863467,11.537445230769226,37.66672335937499,38.85163887777773,47.62056685897436,18.3887367251462
Actinomycetia,8.755290805874528,23.48004875,3.8448503460837857,18.65424337500001,0.6214692857142856,2.3548725,3.8259986274509807,3.341662577319588,15.71010276923077,3.305969103942653,2.4074191489361696,8.902219896907223,2.7479348181818186,10.916147597402595,19.32107890756303,0.6988600000000001,3.8686813333333334,0.24170578231292525,0.7991522372464652,3.923154290540543,5.025661351351354,9.647432222222221,3.150101256038647,2.5385998113207555,16.283496489361713,3.1886834025974027,4.936107034482757,12.080895161290321,3.6589649572649603,16.59201962962963,11.451531166666664,1.1623357534246574,2.5630067692307694,1.7330798979591835,6.813354909090909,16.181470740088113,16.580424999999995,0.896298947368421,5.8184852380952385,2.6528353488372094,2.2591496739130434,1.328184871794872,1.9031263362068964,0.44058800000000015,1.2686799242424245,3.177029482758622,2.057338108108108,2.317015446428571,25.175298062827217,2.552339393939393,0.807953459915612,2.6293589473684205,0.7806375,7.11635,0.2885204571428572,4.5378048648648655,13.54635439490446,32.10148085158143,0.03243549999999999,1.186992205882353,0.48525250000000003,11.931187600000001,4.384955749999998,7.720670666666665,6.2274565,19.01030724840766,13.452794704225356,3.0583000873362445,1.1532795454545455,20.62678188679245,4.0659423199999996,4.3978804,3.4753057792207787,6.463068333333332,22.719543099631,1.5570295384615382,4.553629062500002,4.253556555555551,3.585642628205127,3.7331518128654966
Gammaproteobacteria,5.537753013084115,13.439338125000004,0.562673570127505,10.148035675000006,0.6888898571428571,4.26312034883721,51.56575149509806,1.1992158762886593,22.669044153846148,1.2474641935483874,32.40663276595744,0.44392639175257737,5.569606454545454,4.721872402597403,24.775222436974783,1.2240547999999998,8.789662666666667,0.7594924489795919,2.2828032575291943,0.4137973310810812,1.9053288030888031,3.608446666666668,0.3856121739130436,1.0000566037735852,1.590548404255319,5.387592337662337,1.756319103448276,1.1865183870967744,0.29956888888888883,50.36003555555555,1.1493010833333333,1.0526721575342473,1.4658093846153841,5.143168418367349,0.6241849090909092,0.4392296475770926,1.0128990000000002,11.42362473684211,15.783370714285715,9.737319186046511,0.09402347826086958,1.9436571794871798,1.357688512931035,0.9744086000000002,0.7402336868686868,2.004977068965517,70.70408297297297,18.530126249999995,3.0759987958115182,4.275164876033054,3.691239029535864,2.4529142105263153,0.5247227777777776,10.23499125,3.2660306285714307,0.7848021621621621,0.1745437154989385,16.492467743309035,0.30812624999999993,4.546669411764706,2.8843954545454547,2.2720266000000002,8.242447750000002,1.2296983333333331,3.061058374999999,4.996614152866239,1.0154403661971831,5.98189659388646,1.5338604545454548,18.89637603773585,1.00597112,4.155825999999999,3.3051217045454537,4.0478652777777775,12.553922878228772,3.8641309230769245,6.936207890625,0.6811005666666665,1.6962020512820517,2.1459150877192985
Bacilli,4.069611587182884,2.3949106249999996,0.510167167577413,4.549276425000001,0.2661074285714285,1.5309984302325583,15.106369362745104,0.7661336082474224,5.252720153846154,0.8357764516129031,6.895777446808509,1.136190309278351,0.8227926363636362,2.754832792207791,6.869926218487396,0.28903880000000004,1.0310283333333337,0.05932857142857146,0.4136187461585736,0.6589575675675678,3.5261372972972986,3.069933209876542,0.9435061352657005,0.5619081132075473,5.207057127659573,2.776442805194804,2.480442758620688,4.204153548387097,2.109665555555556,9.674938148148145,0.5841660833333335,0.32012181506849335,1.0101150384615378,0.0445455612244898,1.3015967272727276,2.480752352422908,0.7355594545454547,1.1246896491228073,3.1408373809523815,2.6967941860465103,0.03825782608695652,1.4089184615384616,0.9598762500000014,0.3207896000000002,0.8719710353535352,1.4421951724137936,19.73948324324324,4.8778059821428545,1.9366664921465964,1.1458124793388431,2.2277232489451464,0.3215681578947368,0.08395069444444447,6.4046762500000005,0.5707553714285714,3.4275083783783784,1.1972776008492574,22.73302223844279,0.7543110000000001,0.7207044117647058,1.457088409090909,2.5434618000000007,0.3710902500000002,2.7551784999999995,2.522290000000001,3.47742156687898,5.204077492957747,9.797838515283841,1.1008905454545457,26.31841754716982,0.5381162399999999,0.7011822000000004,1.770486915584415,2.356645277777778,6.411831402214026,0.03831815384615385,1.3952987500000003,1.0547965999999995,3.13988564102564,0.5127382456140348
Coriobacteriia,2.357954931375161,0.6829143750000001,1.9738783788706735,1.8444848000000005,0.34715500000000005,1.933159534883721,0.3537026960784314,0.7758701030927835,1.2309729230769229,2.160047132616487,0.6204793617021277,2.746564639175257,1.1492878181818182,6.9539340259740285,1.2474563025210081,0.4969288000000001,0.9171905000000001,0.2660452380952381,0.2248677197295635,1.2652720270270275,1.6860062548262547,10.878489876543206,2.0794676811594206,1.871277924528302,10.713807872340425,1.5262580259740235,3.592288827586207,2.870246451612903,4.216085042735042,0.7308370370370371,1.183643166666667,0.7332652397260274,1.4111191538461545,1.0543723979591844,6.045997636363638,8.331617691629967,9.797256999999997,1.6710531578947372,3.5443933333333333,1.0859681395348832,1.2905819565217391,1.567457692307692,1.9354923922413796,0.5735024000000003,0.6696238383838385,3.4781917241379317,0.0,6.873196607142857,14.278535706806284,0.6133349586776857,0.1739220675105485,2.6254526315789475,0.5175706944444441,4.057385000000001,0.5419817714285713,3.5186967567567566,5.019059596602976,1.028393096107057,7.417361500000003,0.9673202941176468,0.5345002272727272,3.325688399999999,2.272023875000001,3.641079,1.8234230000000007,1.6960971719745213,5.93425084507042,1.55261519650655,1.2790267272727271,3.3442777358490563,2.44674248,2.0395437199999997,1.577512467532468,2.153668611111111,3.29940147601476,0.8273024615384619,2.2625177343750016,1.4741438222222236,1.774187692307692,0.5804747368421053
Negativicutes,2.2267364368491234,8.212456875,1.457787012750456,1.965566775000001,0.9534215714285718,2.4711025000000015,8.103246642156861,1.4558710309278349,2.842053538461539,2.398550035842293,1.9350925531914893,2.5511125773195875,5.840729272727275,1.093527077922078,4.836798151260504,0.8252220000000001,5.712130499999997,0.86901768707483,1.7513802397049791,0.9313140878378379,2.1492593436293426,0.27577728395061724,3.3606757004830934,1.4231581132075473,1.0106870212765957,3.698476649350649,1.041522206896552,2.3877441935483867,1.9924152136752125,4.723478888888888,2.4707832500000007,2.2373614726027404,2.684648884615383,2.7539631122449,2.2284785454545455,0.9929003700440534,1.3009307272727277,4.12412157894737,1.357232142857143,2.4352477906976735,1.8668972826086954,1.1646797435897438,1.1960064331896558,1.2239544999999996,1.9416306565656576,2.4010255172413797,0.0,1.758969732142856,0.730658010471204,3.0603897520661167,3.688685654008438,5.090003684210527,0.896941527777778,0.9751454166666668,3.740475942857144,4.414044324324325,1.2833203184713375,2.549610133819955,1.5146775000000001,2.9551067647058824,3.676292045454548,1.3491190000000004,2.4088277499999986,1.7639963333333333,3.181016000000001,2.6492217579617856,1.598766985915492,2.2865528384279483,1.7607774545454535,0.15062962264150945,1.6595135199999997,0.97301276,3.2957960389610395,2.7954061111111104,2.249433062730628,1.5698696923076927,4.5189971875,2.0477366666666663,1.965108205128206,2.8934004093567256
Verrucomicrobiae,1.1875337730307072,0.42160437500000003,2.1466697449908927,0.39703335,0.25610800000000006,0.11012430232558136,0.00032865196078431377,0.05965113402061856,0.19531246153846155,1.172214551971326,0.0,2.034550721649484,0.8849695454545453,2.6690601298701297,0.6545289915966386,1.295114,1.4538939999999998,0.5549534013605443,0.8735632513829136,2.3353676689189187,1.4414020463320456,6.970498148148147,1.7530871497584535,1.1862994339622641,1.7637804255319152,0.7530983116883123,2.136894137931035,0.09706741935483872,0.5332394871794871,0.08116777777777778,1.1871100833333326,1.0384978082191778,1.9151512307692307,0.24002260204081635,1.6271992727272726,2.1593986343612346,0.4974014545454545,0.18928947368421054,2.3627511904761906,2.9195031395348825,1.8137640217391298,2.094654358974359,1.7006683943965504,1.6619799000000004,0.5420885101010102,0.9724791379310346,0.0,0.10855928571428573,0.6698553926701569,0.5055786776859506,0.5900255696202533,0.4770057894736842,1.9406966666666665,0.049743333333333334,0.2372162285714286,0.8918381081081082,0.9591611252653931,0.15802753649635035,0.00069125,0.5325038235294117,0.2430756818181818,0.6205474,2.4240800000000005,0.6234481666666665,0.5010211249999998,1.8504694649681535,0.9600963380281687,2.597919432314411,0.8758269090909094,0.3625888679245283,1.8103484800000003,3.8483636400000005,0.4936297077922078,0.16188555555555556,1.9784069741697417,0.06837076923076922,2.1632690625,1.1150863666666677,1.1600883333333332,0.37433906432748537
Firmicutes_NA,0.7478631038718261,0.519201875,1.0693937978142087,0.2086891,1.030201857142857,1.5110223255813948,0.0,0.30334783505154644,0.36552738461538464,1.4038768100358416,0.1484557446808511,1.6603885567010304,0.6129031818181818,1.1475534415584414,0.30486815126050415,0.5221864,1.198576833333333,0.41592238095238093,0.2626228027043638,0.8974681756756756,0.4408479922779923,0.9765265432098766,1.7743600966183568,0.6518866037735849,0.32997914893617025,0.6677622337662339,1.8695287586206895,0.2987303225806452,1.2993894017094014,0.0,0.19684275000000004,1.6912841095890414,1.2198635769230772,1.3671414795918373,1.2501949090909092,0.6769492070484581,1.5731531818181814,3.5693670175438603,0.009359761904761905,0.5668066279069766,1.8426186956521742,1.3863776923076923,1.1981122521551728,0.7780515,0.9944438383838387,2.8391544827586204,0.0,0.8462447321428572,1.6118171204188476,0.5001954545454544,0.25766143459915586,3.341776052631578,0.48062416666666663,1.3018741666666667,2.228783085714285,1.4130135135135138,0.5698759447983018,0.07774883211678837,3.0426677499999997,2.5460367647058817,1.856857954545454,3.4433787999999996,1.0300327499999997,0.8361183333333335,0.36684762499999995,0.08658456050955413,0.9724738028169005,0.5185599999999997,1.2507460909090913,0.6475998113207547,1.2530750400000006,1.3774492399999998,0.39829746753246764,0.5674269444444444,0.28297398523985234,0.6958815384615383,0.9667764843749997,0.8297712777777773,0.7807067307692307,0.28401590643274854
Erysipelotrichia,0.7199346867823764,0.354330625,0.4025823132969031,1.2950731249999998,0.15631714285714277,1.5577990697674422,0.0,0.14565123711340208,0.3395869230769232,0.6073881003584232,0.5700244680851063,0.3028692783505155,0.5152842727272727,1.4511851298701297,1.0514521848739495,0.15467359999999997,0.11068016666666666,0.12364006802721086,0.18857856791641045,0.14479364864864863,0.5753096911196911,2.122585802469137,0.6401954106280192,0.6394220754716982,2.3372257446808513,0.8233576623376616,0.9085528965517246,1.3834332258064514,2.8708048717948715,0.2285677777777778,0.5984100833333331,0.4126084931506848,0.6734798846153845,0.06595744897959184,0.4060594545454545,1.0703834801762133,0.4452105454545454,1.2529078947368422,0.5546404761904762,1.5213144186046512,0.04638065217391304,0.5474889743589744,0.27067271551724115,0.22196770000000005,0.9155802525252527,4.120457413793104,0.0,1.7945139285714287,0.8970644502617797,0.39419275482093674,0.27747223628691964,0.6095344736842105,0.08726513888888893,5.484540416666666,0.1725152,1.5705602702702703,0.8037678980891723,1.2457773661800482,2.0734065000000004,0.5089558823529413,0.7939820454545454,0.539726,0.05638337500000001,0.5256149999999999,0.8977144999999999,0.8810928152866251,1.2641667323943662,1.419682751091703,1.0350222727272722,0.08884603773584906,0.8185155199999999,0.5258614400000003,0.6304954707792202,2.3716619444444453,0.41436889298892965,0.013261692307692304,0.6949948437499996,0.7022460666666679,1.0703105128205126,0.11739894736842113
