tax_identifier,average,AsnicarF_2017,AsnicarF_2021,BackhedF_2015,Bengtsson-PalmeJ_2015,ChuDM_2017,CosteaPI_2017,DavidLA_2015,DeFilippisF_2019,DhakanDB_2019,FengQ_2015,FerrettiP_2018,GuptaA_2019,HMP_2012,HMP_2019_ibdmdb,HMP_2019_t2d,HallAB_2017,HanniganGD_2017,HansenLBS_2018,Heitz-BuschartA_2016,IjazUZ_2017,JieZ_2017,KeohaneDM_2020,LeChatelierE_2013,LiJ_2014,LiJ_2017,LiSS_2016,LifeLinesDeep_2016,LiuW_2016,LouisS_2016,MehtaRS_2018,NagySzakalD_2017,NielsenHB_2014,Obregon-TitoAJ_2015,QinJ_2012,QinN_2014,RampelliS_2015,RaymondF_2016,SankaranarayananK_2015,SchirmerM_2016,ShaoY_2019,ThomasAM_2018a,ThomasAM_2018b,ThomasAM_2019_c,VincentC_2016,VogtmannE_2016,WampachL_2018,WirbelJ_2018,XieH_2016,YachidaS_2019,YassourM_2016,YassourM_2018,YeZ_2018,YuJ_2015,ZeeviD_2015,ZellerG_2014,ZhuF_2020
Prevotella copri,7.146997127308297,18.103057500000002,6.339961961678837,1.2677327272727272,9.618942999999998,5.521662,15.431515278969957,11.1755125,17.520601340206184,33.10548436781609,0.17816166666666666,0.026702173913043477,22.553579999999997,4.7192191034482756,5.563197373737372,0.02361857142857143,1.791547837837838,1.2880803571428572,5.698671884057971,0.003481818181818182,0.06408807692307691,6.1941386029411785,20.484931100917436,9.89567845890411,9.827202,25.055825365853657,0.93075,1.872105630413859,16.335950222222216,4.821274456521739,4.595309806034485,5.900240399999999,8.156105633187773,0.6344931578947367,12.324269623655915,7.846125714285715,2.253718181818182,4.827384444444444,5.32109,5.264141756756758,0.7503722988505748,7.254295,6.836754761904762,4.297931052631579,0.00010909090909090908,6.131659230769231,0.0,4.274489811320755,2.1199633333333336,6.347929852941175,6.205031666666668,0.628326551724138,15.20751904761905,4.862814,12.315539955555547,3.024960975609756,20.51879974358974
Faecalibacterium prausnitzii,5.9107558322123115,4.0366075,7.278003868613134,1.7586981818181817,6.740267999999999,4.6039200000000005,9.200829785407732,0.668555,11.119269793814428,3.613173218390804,6.0984250000000015,0.5576826086956521,1.4452210344827587,3.1800203448275863,8.60728025252526,5.026188095238094,6.894648918918918,4.334144642857142,6.527987681159419,8.140347272727276,3.3076499999999998,3.3342014705882357,7.605593486238533,5.933737945205478,5.6749800000000015,11.850767073170731,6.69332,6.459809682386898,7.233942000000001,4.635684347826087,6.2219011745689645,4.705293600000001,3.5496010917030576,12.811403684210527,4.727516344086022,6.148516964285713,13.880752727272727,2.032002083333334,8.148909374999999,6.405927477477476,0.44506931034482755,17.683055,7.802689999999999,3.641046842105263,0.6879259090909091,8.059185641025643,0.0,10.190467358490567,3.0822931746031745,3.971412941176471,5.701453888888889,1.8455706896551722,3.959243571428572,6.603247666666665,5.624352833333324,4.645669512195123,3.5393375641025626
Phocaeicola vulgatus,5.757828380824257,7.9464725000000005,6.104971167883208,4.282630101010102,7.630318428571431,13.830138000000002,5.174754592274681,2.5366174999999997,2.3941306185567015,3.6941355172413792,1.597405,1.3177673913043477,5.633950344827586,15.664875379310349,13.495025757575759,14.335255476190477,9.439340540540544,0.5719957142857143,4.212265652173911,5.52436909090909,3.335347692307692,9.261042205882353,3.1089684403669735,5.885375719178082,5.512295,5.050383170731706,2.99179,0.9940400192492772,1.8971097777777777,9.195892717391304,5.97549705818967,13.602613200000002,8.223167205240175,3.137362105263158,10.635076505376343,11.16237294642857,5.033817272727273,8.206642499999997,4.406204375,2.8215292342342333,1.4202093103448274,7.411135000000001,4.201491904761904,6.125586842105263,7.900581363636365,9.72507,0.6005985714285715,5.362212264150943,5.35033357142857,10.038215808823525,3.694878055555556,3.3057306034482754,7.611473571428571,6.241544333333334,5.842632833333343,6.109987317073171,15.512372948717953
Bacteroides uniformis,5.500008015164488,3.9506349999999997,6.179558102189783,2.4165768686868683,10.920963142857145,0.8414020000000001,3.3428446351931336,0.0213275,3.9084868041237115,2.562604367816092,1.9025933333333331,1.5715943478260872,3.027757586206896,8.678016,10.351690252525257,10.499256904761907,6.084162432432431,1.1837871428571425,4.294824057971015,5.804984545454546,0.43660769230769225,6.168399852941177,1.6124865137614681,7.2252865753424675,9.774416,3.5511180487804888,4.228732,1.569813147256976,2.126578222222222,14.27723989130435,8.077172090517237,14.648458400000004,6.687292838427948,4.545032631578947,6.981506666666663,7.066781249999999,3.414679999999999,12.835520555555554,2.4938274999999996,2.9590879729729735,1.3742767816091959,5.739698333333333,6.174294761904762,8.121889473684211,2.289943181818182,6.441556923076922,0.29768285714285714,6.797219056603771,9.91862047619048,7.127095441176469,2.1356244444444448,7.495230258620688,7.254562380952383,4.746956333333333,4.881825333333334,4.0388185365853655,4.777153589743593
Eubacterium rectale,3.293169050996697,2.6543400000000004,3.053609114963509,0.4882453535353534,3.8724348571428573,6.067604,3.9991083690987153,6.353275000000001,2.1707752577319592,3.1933079310344836,2.731068333333333,0.13558521739130433,1.0370710344827587,1.4848227586206895,1.683905,3.0052828571428583,3.8745577027027034,5.113801785714285,4.384437874396135,2.6215327272727276,4.151901538461538,3.977215073529411,6.629774220183488,2.62545530821918,0.885798,1.0824156097560977,3.533524,4.156418267564964,3.494359111111111,2.8680341304347823,4.984431443965519,1.7843855999999996,3.1855334061135383,4.575723157894736,2.0885120430107533,1.7199223214285713,4.974877272727272,0.7806752777777777,3.0233818749999997,4.85830822072072,0.47565373563218377,0.7787483333333335,3.2870314285714293,2.2187042105263157,1.0443581818181817,3.009662051282051,0.0,4.077466226415095,2.34349126984127,2.4866444852941174,2.8831297222222223,1.3405292241379316,0.4595095238095236,4.174666333333334,2.734416344444449,2.8542158536585367,1.6201191025641024
Ruminococcus bromii,3.1351273853491595,1.22420375,3.2832824270072956,0.3038101010101011,1.415443,4.362272,1.8120479828326181,0.0057875,2.2404855670103085,1.8947482758620693,6.394406666666666,0.3093804347826087,0.4004479310344827,1.414035448275862,1.3976823232323239,1.861626904761905,0.658187972972973,4.057872857142857,3.272248985507248,4.096073636363636,4.415251923076923,4.497340882352942,3.310442110091743,2.0514841438356157,2.604078,0.48312975609756104,3.6055279999999996,6.97461786333013,0.3624268888888889,1.1232259782608696,2.3595486637931016,1.3373376,2.989409650655023,7.982994210526317,1.2535587634408596,1.0019366071428573,3.603329090909091,0.640538611111111,6.558193125,5.889388806306305,0.29150695402298854,0.24082499999999998,3.9725076190476196,0.6953347368421052,0.3603690909090909,1.001479487179487,0.0,2.706383396226416,3.7285419841269825,1.0479119852941174,2.8617174999999997,0.9594066379310344,0.534577857142857,5.766991333333334,2.708160744444444,8.353328292682926,0.886695769230769
Alistipes putredinis,3.026331979943754,2.6535975,4.632559507299269,1.0169682828282827,4.846528000000002,1.661888,2.4867141630901273,0.0,6.776676597938142,2.2328494252873567,1.1720300000000001,2.888228260869565,1.019231724137931,6.021608,3.776510909090909,5.189244523809524,1.7737947297297296,0.29767714285714286,1.9835430917874404,2.9642309090909094,0.24550461538461538,2.1081933088235285,0.6246967889908255,3.4360971575342454,1.45228,3.467036341463414,1.425796,1.1385888065447543,3.643644444444445,6.155941413043476,4.019872866379307,5.133172000000001,1.8989321834061144,1.5473063157894738,2.5056831720430113,3.9682633035714283,1.9190454545454545,8.671612916666668,1.4994900000000002,2.1371186486486495,0.3335706896551724,5.4073633333333335,1.7794066666666666,0.8001126315789474,0.6883831818181819,3.3398307692307685,0.0,2.3746800000000006,4.82809007936508,1.606130073529411,1.6877666666666666,1.5902147413793106,9.692514285714283,2.2220456666666664,2.8832661888888875,1.1413924390243901,2.8242144871794883
Bifidobacterium adolescentis,2.714941279197744,2.2586037500000002,2.0322037043795613,1.9651022222222216,0.38156599999999996,2.4789920000000003,1.4088232618025756,2.6514725,4.411853402061854,1.6553105747126438,4.15843,0.08342260869565218,1.846976206896552,0.12589351724137926,0.20714146464646468,0.9039528571428571,0.7260263513513514,3.5059142857142858,1.576119130434783,0.06918454545454546,7.9675353846153865,0.13057948529411764,1.6663933944954132,0.7197149315068496,0.40354,0.45436170731707326,7.705755999999999,8.820358200192487,10.455402444444445,1.0009608695652172,0.8044976077586206,0.27137300000000003,0.23350868995633184,1.041283157894737,0.13473763440860215,0.17341374999999998,4.126617272727272,0.32428152777777774,1.37537375,7.449085022522523,1.4296062643678162,0.9044283333333333,4.2374833333333335,2.3463757894736843,0.2682931818181818,0.42328000000000005,0.0031585714285714286,3.220951698113208,2.655548650793652,1.1734980147058827,3.2674377777777774,1.6859592241379304,0.1038252380952381,1.8285016666666665,2.148673955555555,0.9085112195121953,0.6952039743589743
Phocaeicola dorei,2.668208385716033,2.4378812499999998,3.2821456386861296,6.487738888888888,4.023022714285714,0.098644,2.0820362660944203,0.0,1.0287744329896908,1.7332647126436778,0.16149,0.8916134782608696,0.6986820689655172,4.360921103448275,5.758656717171718,3.496394523809523,1.5952870270270267,0.1747214285714286,2.8093990821256045,3.5701545454545456,0.05878192307692308,1.5960331617647057,0.20713733944954135,3.5284202397260285,6.723463,1.4280336585365854,0.0016740000000000001,0.5624135899903746,0.024038888888888884,4.755316847826087,3.2448345150862075,4.638413600000001,3.7748402183406107,1.094463157894737,2.813799516129033,3.914759107142857,0.29866181818181814,4.3049848611111114,0.33553499999999997,1.2029052477477482,1.3276681609195402,4.171013333333334,3.923909523809524,5.408351052631578,1.8238154545454537,3.410263589743589,0.05747142857142857,2.217567358490566,3.364688968253968,4.340845588235295,1.533697222222222,5.398337327586207,4.033279761904762,0.2200153333333333,2.9809282222222233,2.2412641463414635,1.2057470512820514
Roseburia faecis,2.2899925571725603,0.21271625,1.754260812043797,0.5676294949494949,3.037265857142858,2.947918,1.8863261373390554,0.0290375,1.1660298969072167,1.80605183908046,0.6826433333333335,0.03305217391304348,0.8837162068965516,0.6266693103448279,3.721588535353535,1.658114285714286,3.959132162162162,0.4875089285714286,5.081464830917873,1.6917954545454543,0.39497576923076927,1.6611024264705883,3.6007668807339455,3.1418603424657547,3.837141,0.5918897560975611,4.66329,2.699118950914342,1.6801031111111115,0.9153445652173913,2.6216054310344807,1.0997198,3.2272854148471595,2.297405789473684,1.5817105913978506,1.344789017857143,6.768164545454547,0.38073916666666663,3.80026375,3.0456772972972947,0.20428908045977012,0.40039500000000006,3.5380876190476194,1.087517894736842,0.9840068181818181,2.3786474358974354,0.0,2.919170188679245,1.0672047619047615,0.8246708088235294,1.5158813888888885,0.8392064655172413,0.6434650000000001,3.6677856666666666,2.763673866666666,2.5722453658536586,1.8663380769230768
