tax_identifier,average,AsnicarF_2017,AsnicarF_2021,BackhedF_2015,Bengtsson-PalmeJ_2015,ChuDM_2017,CosteaPI_2017,DavidLA_2015,DeFilippisF_2019,DhakanDB_2019,FengQ_2015,FerrettiP_2018,GuptaA_2019,HMP_2012,HMP_2019_ibdmdb,HMP_2019_t2d,HallAB_2017,HanniganGD_2017,HansenLBS_2018,Heitz-BuschartA_2016,IjazUZ_2017,JieZ_2017,KarlssonFH_2013,KeohaneDM_2020,LeChatelierE_2013,LiJ_2014,LiJ_2017,LiSS_2016,LifeLinesDeep_2016,LiuW_2016,LouisS_2016,MehtaRS_2018,NagySzakalD_2017,NielsenHB_2014,Obregon-TitoAJ_2015,QinJ_2012,QinN_2014,RampelliS_2015,RaymondF_2016,SankaranarayananK_2015,SchirmerM_2016,ShaoY_2019,ThomasAM_2018a,ThomasAM_2018b,ThomasAM_2019_c,VincentC_2016,VogtmannE_2016,WampachL_2018,WirbelJ_2018,XieH_2016,YachidaS_2019,YassourM_2016,YassourM_2018,YeZ_2018,YuJ_2015,ZeeviD_2015,ZellerG_2014,ZhuF_2020
Bacteroidia,41.30966924093507,45.268438749999994,44.9205645072993,37.69783656565656,62.32120128571426,51.738188,44.7255598814229,50.173942499999995,44.50126412371133,57.99317318181818,8.859559375,28.95014434782609,65.66545566666666,79.15584841379311,64.01229561643837,60.81064928571426,33.339435405405425,6.506048928571429,28.381394879227045,43.180969999999995,7.273436538461537,47.34733134502925,19.63823418604651,32.92873126126127,51.930766130136966,57.803642,63.919569756097545,20.788553999999998,10.39677809608541,39.722495333333335,64.92448347826087,46.338244191810425,69.30512560000003,50.48957765182183,22.730598947368417,61.82963348958334,64.26970833333336,21.931706363636366,75.88476402777775,29.93387944444444,23.35498892543861,11.074044885057472,58.96379642857143,32.01551535714286,51.07623275,43.03832642857144,47.212317758620685,3.174816428571429,38.513128461538464,47.9963072881356,56.8427630081301,34.983979166666664,31.39002818965517,77.17904222222225,33.7738791891892,47.2788971111111,28.84692836065574,72.04383769230769
Clostridia,38.84252660115209,26.78765375,41.83666330291976,15.286729898989899,32.232435714285714,30.434102000000003,40.63507980237153,9.335727499999999,34.26116824742269,21.45302181818182,62.082085625,9.013984782608697,14.315298333333333,16.478283517241383,28.594317351598168,27.391054523809526,48.44522486486484,57.29384642857143,54.9645395652174,46.42368363636364,59.002722692307685,34.21303152046782,58.91394813953489,48.662308828828834,38.297115513698614,32.688748,21.529583414634143,51.40361399999999,55.00576975088964,27.255911777777772,24.33038010869565,41.92960729525866,23.701593799999998,41.688938340080966,61.13010631578948,26.951119635416664,29.169679210526322,60.72028363636364,17.23461458333332,52.73094333333334,51.55902633771933,7.2170718965517215,25.44536857142857,48.26713250000001,27.794356750000002,14.81685324175824,42.384228103448265,3.3170335714285715,46.486742769230766,32.503446949152526,27.323373008130094,41.54915277777777,17.216555517241382,12.432293777777772,45.23525864864865,38.85163887777773,53.10730934426229,18.675550512820518
Actinomycetia,6.608923270077927,7.18379875,3.8440055109489033,26.84189777777778,0.6214692857142856,5.659302,3.393432332015811,6.9585325,8.902219896907223,2.9593360227272716,12.860471250000003,17.97179173913043,2.474499666666667,0.2448215172413794,0.429424885844749,2.6835116666666656,6.500061621621622,11.428502499999997,3.150101256038647,1.3070490909090908,16.959014615384618,2.4379733333333338,3.7445593023255817,3.6752610810810835,1.1623357534246574,0.8646880000000001,1.1560151219512191,11.178896,16.238329297153033,17.109919999999995,2.2591496739130434,1.9031263362068964,0.645939,0.7057435627530358,5.285324736842107,1.3579959895833345,0.5979733333333335,9.045615454545455,0.7806375,4.474842777777777,13.65608287280702,35.47094597701152,1.886654285714286,8.767835,5.13056175,3.206933406593407,1.4118158620689656,37.045593571428576,4.62770923076923,4.14542395480226,3.6459663821138224,6.463068333333332,22.594115775862072,1.5769133333333325,3.104873783783783,4.253556555555551,5.384177213114754,2.0734239743589744
Coriobacteriia,2.691244921495541,1.1829812499999999,1.9704070437956196,2.2549072727272716,0.34715500000000005,2.0146479999999998,2.287848063241107,1.31784,2.746564639175257,1.258212159090909,5.02973875,0.33082652173913046,0.8932490000000001,0.2684624827586208,0.24133091324200912,1.5966107142857142,2.7413791891891877,10.39947857142857,2.0794676811594206,1.329989090909091,6.041876538461538,1.2480640935672511,3.0287279069767434,4.160873693693693,0.7332652397260274,0.28372200000000003,0.8352292682926828,9.050498000000001,8.333897642348767,9.215710000000001,1.2905819565217391,1.9354923922413796,0.6144744000000002,0.3814988259109312,2.178722105263158,0.39779822916666685,0.1985462280701755,3.028040909090909,0.5175706944444441,2.9504755555555557,5.051312960526318,0.8816169540229889,0.990787857142857,3.5952035714285713,1.5509435000000005,1.4400915934065932,1.3934565517241375,0.5473928571428572,2.556421692307693,1.9336597740113002,1.4112934146341471,2.153668611111111,3.4513843965517244,1.1060657777777778,1.501052162162162,1.4741438222222236,1.6091121311475411,0.413484487179487
Gammaproteobacteria,1.9891828431040344,0.6826687499999999,0.5637003467153289,9.546485959595957,0.6888898571428571,4.601609999999999,1.3160192490118585,9.487255000000001,0.44392639175257737,6.45562568181818,0.16678,26.911590434782614,3.884256666666667,0.7698233103448276,2.195957123287672,0.2869309523809524,1.1963159459459458,0.9223582142857143,0.3856121739130436,1.3004627272727272,0.3486669230769231,6.038248888888891,3.903810930232557,0.3103646846846846,1.0526721575342473,1.547612,6.690383902439025,1.2260220000000002,0.44325203736654817,1.0078273333333332,0.09402347826086958,1.357688512931035,1.3680379999999999,0.5206178947368422,0.2150668421052631,3.906970572916665,1.3888137719298246,0.12836454545454545,0.5247227777777776,0.6637944444444446,0.17411923245614044,14.146671321839081,5.647865000000001,1.0706803571428571,4.542521499999999,6.487751428571426,0.8864734482758618,16.31320285714286,0.7627407692307695,3.6274504519773996,3.253440609756097,4.0478652777777775,11.719342413793107,3.529955333333334,8.709263783783785,0.6811005666666665,1.0296773770491803,2.1923602564102564
Bacilli,1.8700633502767425,1.13862625,0.5095737499999995,4.102861212121212,0.2661074285714285,0.34052199999999994,0.8633065217391304,2.284375,1.136190309278351,0.8982998863636361,1.02272125,11.81098913043478,0.788119,0.06012648275862071,0.14701401826484017,0.4462154761904764,3.20336054054054,2.5716625,0.9435061352657005,0.6742436363636364,2.0454880769230765,2.5504847368421077,1.7775269767441861,2.1918343243243252,0.32012181506849335,0.17695900000000003,0.011037560975609758,0.188904,2.478271761565837,0.7019657777777777,0.03825782608695652,0.9598762500000014,0.20700519999999997,0.5704014574898782,0.798992105263158,0.6825936458333332,0.2522534210526316,0.5616490909090909,0.08395069444444447,1.7273611111111113,1.2122783333333338,23.221965862068963,0.24935642857142856,2.6499575,3.1394217499999995,6.2176473076923084,0.5206606896551724,32.45129142857143,0.5137929230769231,0.7252495480225986,1.4987394308943092,2.356645277777778,8.47958672413793,0.04282911111111111,1.1869118918918917,1.0547965999999995,3.965402622950819,0.33550384615384626
Negativicutes,1.817108813961363,9.77183125,1.458608722627738,1.9058675757575747,0.9534215714285718,0.539544,2.584707944664031,3.6685199999999996,2.5511125773195875,6.078191590909091,1.6698175000000006,3.6663656521739143,6.349744333333334,0.8674442758620688,1.7596502739726043,0.6080388095238094,0.8921490540540539,0.2679132142857143,3.3606757004830934,0.23635818181818183,0.8514346153846154,3.1230921052631575,0.9969146511627905,2.039788738738738,2.2373614726027404,2.5084180000000003,2.788113658536585,1.9417340000000003,0.9949620373665485,1.3990035555555553,1.8668972826086954,1.1960064331896558,1.105797,1.6804758299595133,2.2994342105263157,2.8220934375000013,1.7149920175438604,1.315409090909091,0.896941527777778,2.618027777777778,1.2901439912280706,3.0277131034482765,1.1524271428571429,1.3031878571428568,3.65069075,2.69655763736264,1.4315051724137933,0.25895285714285715,1.8472596923076925,0.9568422033898306,3.1443417073170714,2.7954061111111104,2.2915511206896553,1.4307815555555552,3.481378108108108,2.0477366666666663,1.3930106557377047,2.318656153846154
Verrucomicrobiae,1.4190005726872252,0.73521375,2.1498214416058397,0.28233919191919193,0.25610800000000006,0.568684,1.127674031620553,0.0,2.034550721649484,1.0014945454545454,3.3481975,0.16813739130434782,1.870765,0.5556814482758621,0.6853996803652969,3.237775,0.4249598648648648,8.083785714285714,1.7530871497584535,2.11186,3.1485284615384614,0.49296666666666644,2.4487804651162794,0.5588818918918919,1.0384978082191778,2.5464379999999998,0.26613439024390245,1.365312,2.163200489323845,0.6112688888888889,1.8137640217391298,1.7006683943965504,1.2328017999999998,0.5648098785425102,1.9065705263157895,0.27953052083333335,0.3407521052631578,1.6478381818181818,1.9406966666666665,0.7611144444444444,0.9840580263157898,0.028835862068965514,1.9350792857142856,0.3543603571428572,0.10314249999999998,2.722685604395605,0.8518860344827586,0.0,1.5604132307692307,3.5003351412429384,0.3890939024390244,0.16188555555555556,1.2179500862068964,0.08348733333333333,0.37321837837837835,1.1150863666666677,0.6828552459016393,0.06197141025641026
Firmicutes_NA,0.8879071885236648,0.99704375,1.0707582390510961,0.219119595959596,1.030201857142857,0.610854,1.502001501976284,0.0,1.6603885567010304,0.7027901136363638,1.42682875,0.5459430434782608,2.1030773333333332,0.4182429655172414,0.43797242009132425,0.5993628571428572,0.22207783783783783,0.55092,1.7743600966183568,0.7782163636363637,0.36598384615384616,0.5857179532163743,2.2602479069767445,1.330091261261261,1.6912841095890414,0.44001100000000004,0.5644419512195122,1.6423879999999997,0.6743128647686831,1.5039940000000005,1.8426186956521742,1.1981122521551728,0.6540702,1.0331499190283406,1.3833357894736842,0.3028336458333334,0.3992770175438595,0.9000709090909091,0.48062416666666663,0.4672222222222223,0.5762481798245617,0.02405557471264368,1.3451235714285714,0.8176792857142858,0.30781775,0.37469384615384604,1.6274812068965514,0.0,1.1962813846153841,1.48232197740113,0.4418518292682924,0.5674269444444444,0.16496879310344822,0.6218784444444442,0.7173862162162162,0.8297712777777773,0.670334918032787,0.19735230769230766
Methanobacteria,0.6748223573929741,3.2228862499999997,0.41714658759124085,0.010913939393939394,0.03703742857142857,0.12313800000000001,0.25300735177865613,0.0,0.4250956701030928,0.1379793181818182,2.334035,0.01394521739130435,0.6773606666666667,0.0305384827586207,0.23225652968036528,0.001849761904761905,0.0,0.6399853571428571,1.539330434782608,0.020987272727272726,2.0657846153846156,0.039587251461988306,1.8753227906976744,0.9108358558558559,0.16171657534246572,0.126668,0.0,0.075012,1.8319420907473307,0.0033095555555555556,0.0,0.36730768318965507,0.096506,0.7539823886639675,0.4187215789473684,0.07276312499999998,0.026522017543859647,0.07905636363636363,0.06640402777777779,1.2653433333333333,0.9734967105263157,0.012166034482758619,0.0,0.19431392857142854,0.07801125,0.3049898901098901,0.28352689655172414,0.0,0.1681644615384615,1.7649049717514134,0.06886260162601623,1.5925702777777777,0.15123706896551725,8.666666666666666e-06,0.13459432432432433,1.0320425000000002,1.72860262295082,0.036221794871794874
