fecal weight,transit time
78.82547891,142.2100233
35.70336857,131.9337331
38.4854402,108.5635545
87.6352565,116.8508933
71.87029982,96.46414169
70.01535356,93.1491813
65.84224611,95.46966601
45.90418198,88.34263168
43.58567303,71.76795402
67.23328192,62.4862638
70.479264,54.86186733
57.4960312,53.03874477
76.97053265,41.27074103
91.80836395,39.7790275
98.76354304,39.61332299
93.66296245,31.49168867
80.21651472,25.35913003
105.7187221,29.66856612
108.9643564,32.65199318
123.8021878,23.8674165
143.2766892,20.55245611
151.6229041,20.88398944
151.1593414,14.7514308
163.6786638,23.8674165
163.6786638,33.14923102
172.0248787,22.20999846
174.3430399,20.22104708
185.0077637,17.40332453
214.6830786,23.53588317
226.2752756,12.92818394
246.6769024,24.69618768
247.1408128,21.71276061
254.0959919,22.7072363
254.5595546,20.38675159
261.051171,15.41437316
287.9444142,20.55245611
297.6816649,17.56902904
347.7589544,14.25419296
351.9320618,24.19894983
356.5687319,22.87294081
388.5625558,19.72380924
414.0651109,16.74038218
487.3260988,16.90608669
489.1810451,20.88398944
490.1081704,22.54140748
528.1300479,28.3425571
561.5149076,36.2983626
462.2874541,30.6630418
452.5502034,34.30941122
459.0418198,38.95025633
434.9306482,38.95025633
309.7374246,31.65751749
288.8718873,37.45854279
292.1175217,42.59675005
278.6707262,41.43644554
280.061762,32.15475533
267.0788769,31.32598416
255.4870277,37.95578064
255.4870277,40.27626535
248.9954113,38.6188473
242.0402322,47.23759516
247.1408128,62.15473047
204.9458278,58.17682772
193.8175413,60.33148361
188.253398,63.646444
147.4497966,68.45311793
141.4220907,71.6022495
114.5284997,76.57462794
82.07111323,68.95035577
90.88089082,68.61882244
100.6181415,68.45311793
105.2551594,66.46416655
84.85318486,65.96692871
91.34480126,52.2099736
93.19939977,54.5304583
99.69101617,56.18787635
107.5733206,59.33700792
121.4836788,59.33700792
141.4220907,63.14920616
132.1484027,56.02217184
127.5117325,48.72930869
131.68484,44.75140594
146.5223235,44.08846358
145.1312877,41.60227437
143.2766892,38.12160946
141.4220907,35.63542024
135.394037,31.65751749
168.7788966,42.43092123
178.0525846,43.75693025
170.6338429,51.71273575
191.9629428,42.26521672
195.2085771,34.47511573
206.8007741,30.99445083
222.1021681,33.81217338
