Time (hh:mm),Time (h),B.longum08,B.longum08,HPLC,Time (hh:mm),Time (h),B.adolescentis11,B.adolescentis11,HPLC,Time (hh:mm),Time (h),B.theta08,B.theta08,HPLC,Time (hh:mm),Time (h),B.theta09,B.theta09,HPLC,Time (hh:mm),Time (h),B.theta,B.theta,HPLC
10:42,0,0.125,0.068,,12:34,0,0.188,0.141,Bado_1_FP11,10:37,0,0.147,0.09,Btet_1_FP08,10:49,0,0.239,0.186,Btet_1_FP09,13:00,0,0.084,0.025,
11:18,0.6,0.139,0.082,,13:20,0.766666667,0.321,0.274,Bado_2_FP11,11:20,0.716666667,0.186,0.129,,11:15,0.433333333,0.315,0.262,Btet_2_FP09,13:30,0.5,0.087,0.028,
11:36,0.9,0.158,0.101,Blon_1_FP08,13:40,1.1,0.347,0.3,,12:17,1.666666667,0.305,0.248,Btet_2_FP08,11:54,1.083333333,0.5,0.447,Btet_3_FP09,14:15,1.25,0.14,0.081,
12:20,1.633333333,0.2,0.143,,14:00,1.433333333,0.43,0.383,Bado_3_FP11,12:39,2.033333333,0.37,0.313,,,,,,,14:30,1.5,0.16,0.101,Btet_01
12:39,1.95,0.24,0.183,Blon_2_FP08,14:15,1.683333333,0.48,0.433,,12:52,2.25,0.39,0.333,Btet_3_FP08,,,,,,15:10,2.166666667,0.23,0.171,Btet_02
13:05,2.383333333,0.304,0.247,,14:25,1.85,0.58,0.533,Bado_4_FP11,13:05,2.466666667,0.48,0.423,Btet_4_FP08,,,,,,15:35,2.583333333,0.31,0.251,Btet_03
13:18,2.6,0.337,0.28,Blon_3_FP08,,,,,,,,,,,,,,,,16:05,3.083333333,0.4,0.341,Btet_04
13:45,3.05,0.418,0.361,Blon_4_FP08,,,,,,,,,,,,,,,,16:33,3.55,0.56,0.501,Btet_05
14:07,3.416666667,0.5,0.443,Blon_5_FP08,,,,,,,,,,,,,,,,16:55,3.916666667,0.7,0.641,Btet_06
14:20,3.633333333,0.58,0.523,Blon_6_FP08,,,,,,,,,,,,,,,,,,,,
