sample,foldername,peak_assignment,hplc_machine,peaks_manual,peaks_autofitting,background_substraction,setting_background_substraction,fitting_boundaries,time_window,notes
Bado_1_FP09,tbd,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[12.8,15.2,17.9,19.3,20.05,20.6,21.1,22.05,22.7,23.9,26.2,28.1,35.8]",TRUE,TRUE,80,"[0.1,0.2,0.0,-0.1,10,0.2,0.8,0.1]","[12,37]",
Bado_1_FP11,tbd,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[12.8,15.2,17.9,19.3,20.05,20.6,21.1,22.05,22.7,23.9,26.2,28.1,35.8]",TRUE,TRUE,80,"[0.1,0.2,0.0,-0.1,10,0.2,0.5,0.1]","[12,37]",
Bado_2_FP08,tbd,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[12.8,15.2,17.9,19.3,20.05,20.6,21.1,22.05,22.6,23.9,26.2,28.1,35.8]",TRUE,TRUE,80,"[0.1,0.2,0.0,-0.1,10,0.2,0.5,0.1]","[12,37]",
Bado_2_FP09,tbd,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[12.8,15.2,17.9,19.3,20.05,20.6,21.1,22.05,22.7,23.9,26.2,28.1,35.8]",TRUE,TRUE,80,"[0.1,0.2,0.0,-0.1,10,0.2,0.8,0.1]","[12,37]",
Bado_2_FP11,tbd,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[12.8,15.2,17.9,19.3,20.05,20.6,21.1,22.05,22.7,23.9,26.2,28.1,35.8]",TRUE,TRUE,80,"[0.1,0.2,0.0,-0.1,10,0.2,0.5,0.1]","[12,37]",
Bado_3_FP08,tbd,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[12.8,15.2,17.9,19.3,20.05,20.6,21.1,22.05,22.6,23.9,26.2,28.1,35.8]",TRUE,TRUE,80,"[0.1,0.2,0.0,-0.1,10,0.2,0.5,0.1]","[12,37]",
Bado_3_FP09,tbd,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[12.8,15.2,17.9,19.3,20.05,20.6,21.1,22.05,22.7,23.9,26.2,28.1,35.8]",TRUE,TRUE,80,"[0.1,0.2,0.0,-0.1,10,0.2,0.8,0.1]","[12,37]",
Bado_3_FP11,tbd,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[12.8,15.2,17.9,19.3,20.05,20.6,21.1,22.05,22.7,23.9,26.2,28.1,35.8]",TRUE,TRUE,80,"[0.1,0.2,0.0,-0.1,10,0.2,0.5,0.1]","[12,37]",
Bado_4_FP08,tbd,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[12.8,15.2,17.9,19.3,20.05,20.6,21.1,22.05,22.6,23.9,26.2,28.1,35.8]",TRUE,TRUE,80,"[0.1,0.2,0.0,-0.1,10,0.2,0.5,0.1]","[12,37]",
Bado_4_FP09,tbd,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[12.8,15.2,17.9,19.3,20.05,20.6,21.1,22.05,22.7,23.9,26.2,28.1,35.8]",TRUE,TRUE,80,"[0.1,0.2,0.0,-0.1,10,0.2,0.8,0.1]","[12,37]",
