retention_time_min,retention_time_max,substrate,substrate_label,calibration
14.2,15.5,glucose,glu,YCA_Zurich_glucose_2308
23,24.5,acetate,ace,YCA_Zurich_acetate_2308
27,28,propionate,prp,YCA_Zurich_propionate_2308
21.3,21.9,lactate,lac,YCA_Zurich_lactate_2308
20.6,21.2,succinate,suc,YCA_Zurich_succinate_2308
34,34.5,butyrate,but,YCA_Zurich_butyrate_2308
22.5,23.6,formate,for,YCA_Zurich_formate_2308
12.6,12.8,maltose,mal,YCA_Zurich_maltose_2308
