,Unnamed: 0,notes,strain,species,experiment,experiment_short,exp_number,medium,experimentator,sample_number,growth_rate,use_in_study,num_av,date_of_experiment,glucose,glucose_y0,glucose_OD,glucose_conc,acetate,acetate_y0,acetate_OD,acetate_conc,propionate,propionate_y0,propionate_OD,propionate_conc,succinate,succinate_y0,succinate_OD,succinate_conc,lactate,lactate_y0,lactate_OD,lactate_conc,butyrate,butyrate_y0,butyrate_OD,butyrate_conc,formate,formate_y0,formate_OD,formate_conc,ethanol,ethanol_y0,ethanol_OD,ethanol_conc,exp_number_usedonly,glucose_std,acetate_std,propionate_std,succinate_std,lactate_std,butyrate_std,formate_std,ethanol_std,growth_rate_std
10,170.0,,ATCC21523576,B.fragilis,BHI-Richa-22Dec30,BHI-Richa-22Dec30,171,BHI,Richa/Jonas,1.0,0.4167833107515678,yes,1.0,2022-12-30 00:00:00,-2.7487508857268343,6.604874248913099,[0.123 0.146 0.175 0.273],[6.26348773 6.19113865 6.14497148 5.84904475],5.904021770490002,2.179084887376745,[0.123 0.146 0.175 0.273],[2.89515531 3.07610881 3.18238024 3.79587879],0.3142883188233977,11.994978220805573,[0.123 0.146 0.175 0.273],[12.04883244 12.06705689 11.9927749  12.09659338],1.79080738802502,1.1589936120452684,[0.123 0.146 0.175 0.273],[1.37425236 1.41572426 1.48618024 1.64382649],0.3885048930272975,1.871988050367737,[0.123 0.146 0.175 0.273],[1.91907171 1.94405833 1.92116109 1.98221908],-0.1815156410410636,0.1013261012122136,[0.123 0.146 0.175 0.273],[0.06846035 0.10008204 0.05296118 0.05365411],6.060417210933213,0.5465924778411386,[0.123 0.146 0.175 0.273],[1.43268498 1.39058752 1.44477475 2.2636418 ],,,,,9.0,,,,,,,,,
11,0.0,,ATCC21523576,B.fragilis,yield_expt_090622_rerun_sep2nd,run3hplcrep,1,epsilon_plus,Richa,,0.4233521083146612,no,1.0,20220906,-2.198378447168603,18.53938407736429,[0.09  0.238 0.406],[18.29233714 18.10869947 17.60350584],1.4003909399098131,12.094472766647597,[0.09  0.238],[12.22050795 12.42776581],1.644531261548637,6.864346221242266,[0.09  0.238 0.406],[7.08495152 7.11919225 7.59598084],1.489231161840064,0.9098063761789322,[0.09  0.238 0.406],[1.05727833 1.23896124 1.52627524],0.0810596060300163,0.6236584517858842,[0.09  0.238],[0.63095382 0.64295064],0.1429793336758902,0.1786175110061268,[0.09  0.238 0.406],[0.2039946  0.18911786 0.24768691],2.354598346845212,1.9585910835349405,[0.09  0.238 0.406],[2.21470589 2.43584561 2.95349695],,,,,,,,,,,,,,
12,100.0,,ATCC21523576,B.fragilis,yield_exp_1022_wotrp,yield_exp_1022_wotrp,101,epsilon_plus_noTryp,Richa,,0.3205486949394213,yes,1.0,,-8.792711813422212,20.80724144168208,[0.072 0.111 0.227 0.33 ],[20.17138621 19.82732755 18.82660019 17.89704507],5.418352300980116,10.897844883033704,[0.072 0.111 0.227 0.33 ],[11.33132705 11.43801655 12.14946178 12.68215486],2.7589289078255934,-0.427166132456977,[0.072 0.111 0.227 0.33 ],[-0.21260123 -0.14985189  0.22073309  0.47466289],0.1339097174596722,0.0788832353539258,[0.072 0.111 0.227 0.33 ],[0.09022792 0.09025308 0.1124438  0.12170134],0.7921424905068067,0.2126684381097064,[0.072 0.111 0.227 0.33 ],[0.26964092 0.30845385 0.37593261 0.48283182],,,,,5.371056390057717,0.4713369747090558,[0.072 0.111 0.227 0.33 ],[1.04418149 0.85057581 1.68562079 2.27955154],,,,,10.0,,,,,,,,,
13,171.0,,ATCC21523576,B.fragilis,BHI-Richa-22Dec30,BHI-Richa-22Dec30,172,BHI,Richa/Jonas,2.0,1.265643549263149,yes,1.0,2022-12-30 00:00:00,-2.467117739820775,6.6472419989978455,[0.169 0.261 0.412 0.453 0.49 ],[6.20979479 6.02943732 5.62645833 5.55503836 5.41167603],14.435255164619898,1.5451765562865398,[0.169 0.261 0.412 0.453 0.49 ],[4.15928526 4.99863478 7.71089564 8.05389759 8.57009998],-0.1168441635484876,12.010735258967228,[0.261 0.412 0.453 0.49 ],[11.98029967 11.96722719 11.94766473 11.95892927],1.449918104903288,1.1899788461834258,[0.169 0.261 0.412 0.453 0.49 ],[1.44982818 1.54938434 1.79106537 1.82817252 1.91954764],0.2729237776063716,1.801723204784422,[0.169 0.261 0.412 0.453 0.49 ],[1.84618294 1.86957444 1.93095145 1.92534664 1.9237295 ],-0.0560999222185071,0.0779734327106733,[0.169 0.261 0.412 0.453 0.49 ],[0.06815037 0.06189436 0.05771416 0.05840627 0.04356364],10.275259361199046,1.107419358473556,[0.169 0.261 0.412 0.453 0.49 ],[3.07818802 3.40217741 5.50198198 5.78584263 6.11024471],,,,,11.0,,,,,,,,,
14,95.0,,ATCC21523576,B.fragilis,yield_exp_1022_wtrp,yield_exp_1022_wtrp,96,epsilon_plus,Richa,,0.7296753673001548,yes,1.0,,-5.279791826930086,20.333038886969895,[0.065 0.151 0.264 0.365],[19.99376075 19.50893874 18.98445839 18.38357357],3.009101069352542,12.306158552371382,[0.065 0.151 0.264 0.365],[12.46964865 12.81337785 13.08394343 13.40035467],0.2107561050139516,7.528697018703743,[0.065 0.151 0.264],[7.50798792 7.62111625 7.55814982],2.4536274439756665,0.467212129657156,[0.065 0.151 0.264 0.365],[0.64915614 0.81899189 1.08792206 1.38609362],,,,,-0.0605949072885177,0.0404783825887925,[0.065 0.151 0.264 0.365],[0.03808703 0.03049049 0.02166106 0.02047227],1.0031978073167251,2.247655887003984,[0.065 0.151 0.264 0.365],[2.27949383 2.47009353 2.46127885 2.62745948],,,,,12.0,,,,,,,,,
15,8.0,double check growth conditions,ATCC21523576,B.fragilis,yield_expt_090222_modified_epsi,run3,9,epsilon_plus,Richa,,0.4233521083146612,yes,1.0,20220906,-5.861160610795909,19.893679952432297,[0.09  0.186 0.238 0.406],[19.38027232 18.75014472 18.54208363 17.50995138],5.4154985008909895,11.686462067304843,[0.09  0.186 0.238 0.406],[12.33189945 12.6088691  12.789227   13.99811134],0.1510226923014226,7.389401487632211,[0.09  0.186 0.238],[7.40188816 7.42063777 7.4233042 ],2.8532350339429704,0.4436222344863134,[0.09  0.186 0.238 0.406],[0.58653024 1.03572433 1.2564957  1.52071491],-0.3717147395956416,0.7465539789107423,[0.09  0.186 0.238],[0.71246368 0.67922511 0.65691177],0.1687161800776844,0.1757187483593709,[0.09  0.186 0.238 0.406],[0.19443302 0.2066601  0.20980979 0.24719097],4.197853050472463,1.8073895754697,[0.09  0.186 0.238 0.406],[2.12431278 2.65930037 2.82787729 3.48009267],,,,,13.0,,,,,,,,,
16,27.0,,DSM20219,B.longum,yield_expt_modified_epsilon_rt5,run2,28,epsilon_plus,Richa,,0.4565404147836125,no,1.0,,-10.988136997904077,19.76442595233487,[0.082 0.122 0.177 0.33 ],[18.71790895 18.50996064 17.9383184  16.07895041],13.612934015737023,12.13824552423559,[0.082 0.122 0.177 0.33 ],[13.41330979 13.72293251 14.3937715  16.70176438],-0.2403524029433081,7.431105742967089,[0.082 0.122 0.177 0.33 ],[7.42026014 7.38941787 7.39100649 7.35284791],-0.5159902663151015,0.4433164589317869,[0.082 0.122 0.177 0.33 ],[0.43651794 0.3707527  0.30749173 0.29163439],5.163187477002407,0.4557683355325206,[0.082 0.122 0.177 0.33 ],[0.88581448 1.02011329 1.44798213 2.14018973],-0.0410187894546616,0.0632078899992424,[0.122 0.177 0.33 ],[0.05978999 0.0537909  0.05024196],0.1703416074427338,2.547368799582984,[0.082 0.122 0.177],[2.56899567 2.55492153 2.58308935],-1.1281286509863353,9.10839446428315,[0.082 0.122 0.177 0.33 ],[9.13773651 8.95720919 8.72963525 8.80689743],,,,,,,,,,
17,169.0,"check propionate peak, prevent neighboring peaks to cut into it",DSM20219,B.longum,BHI-Richa-22Dec30,BHI-Richa-22Dec30,170,BHI,Richa/Jonas,2.0,1.046478828743441,yes,1.0,2022-12-30 00:00:00,-4.413151411027235,6.88255600739225,[0.151 0.21  0.305 0.394 0.537],[6.16155684 5.98596212 5.56154425 5.18164821 4.47426581],2.294461628569642,2.773286273150736,[0.151 0.305 0.394 0.537],[3.21972192 3.34423929 3.6165058  4.09509636],4.942876713379121,10.939077319462696,[0.151 0.305 0.394 0.537],[11.53782585 12.66903149 12.92427823 13.48094372],-2.1551137423788633,1.630261903640308,[0.151 0.305 0.394 0.537],[1.25415311 1.04910826 0.79441163 0.43423184],7.984392469231369,0.9514620127060208,[0.151 0.305 0.394 0.537],[2.24864342 3.27600044 4.02982294 5.32573361],,,,,4.541333479058965,0.9968068609293704,[0.151 0.305 0.394 0.537],[1.52296506 2.51555385 3.00004018 3.24749789],,,,,14.0,,,,,,,,,
18,168.0,"check propionate peak, prevent neighboring peaks to cut into it",DSM20219,B.longum,BHI-Richa-22Dec30,BHI-Richa-22Dec30,169,BHI,Richa/Jonas,1.0,0.5508597534167384,yes,1.0,2022-12-30 00:00:00,-7.842227591777308,7.214785685697738,[0.141 0.162 0.202 0.25 ],[6.10372461 5.89990883 5.72417296 5.21045451],4.865346480777576,2.371663047372557,[0.141 0.162 0.202 0.25 ],[3.05478551 3.17591671 3.33157177 3.5977148 ],-3.940542066672698,12.630287539810393,[0.162 0.202 0.25 ],[11.9594255  11.89387079 11.6180735 ],-0.8566824621054425,1.395032633664689,[0.141 0.162 0.202 0.25 ],[1.23960154 1.26276947 1.28868965 1.14227462],6.4327147559416185,1.2459944791733204,[0.141 0.162 0.202 0.25 ],[2.18221899 2.31168629 2.43581585 2.91095643],,,,,4.064858998761834,1.0388270668182522,[0.141 0.162 0.202 0.25  0.358],[1.44596655 1.5183624  2.119695   2.33817274 2.29612671],,,,,15.0,,,,,,,,,
19,133.0,,DSM20219,B.longum,TG2022-Friday,TG2022-Friday,134,tbd,Jonas,,0.7568118131789867,yes,1.0,,-9.53245818536343,18.588496528459736,[0.155 0.263 0.362],[17.26254589 15.76451923 15.30310708],12.5862640166694,9.594438712490703,[0.155 0.263 0.362],[11.68656957 12.60926446 14.30476804],-0.2040062301404572,5.9378798339084735,[0.155 0.263 0.362],[5.9767202  5.73689796 5.94089648],-1.0446798563397828,0.6397602716657554,[0.155 0.199 0.263 0.362],[0.40860878 0.58054001 0.2649734  0.28217733],4.180514123253673,0.2584965527398937,[0.155 0.199 0.263 0.362],[0.84555654 1.16660711 1.35990807 1.75463782],0.1562767969355817,0.0017145178474422,[0.155 0.199 0.362],[0.02730221 0.03108041 0.05865513],1.184978721876106,1.9313165853511585,[0.155 0.199 0.263 0.362],[2.18878867 2.05157781 2.27890433 2.3660897 ],,,,,16.0,,,,,,,,,
20,56.0,air in hplc runs,DSM20219,B.longum,Julien,Julien,57,epsilon_plus,Julien,,0.571077130022681,?,1.0,2022-05-10 00:00:00,-10.141084510756244,18.07755070872462,[0.11 0.22 0.29 0.39],[16.98825579 15.78071951 15.17505537 14.12367681],12.771918565455534,-0.4577518378178279,[0.11 0.22 0.29 0.39],[0.99059539 2.33755257 3.14916328 4.59131916],2.532736256982051,0.8754281915431882,[0.11 0.22 0.29 0.39],[1.18688003 1.33943136 1.67637729 1.8570877 ],1.9839059147104383,-0.3182424282391515,[0.11 0.29 0.39],[-0.09941372  0.25541292  0.45655919],7.128853377097499,-0.1442420299327795,[0.11 0.22 0.29 0.39],[0.34635764 2.06115738 1.66214537 2.55351339],0.3391849875483127,-0.5051805297239881,[0.11 0.22 0.29],[-0.4751043  -0.41195781 -0.41818479],1.8753235610521009,-0.5476718793277409,[0.11 0.29 0.39],[-0.32422848 -0.05186992  0.21458837],1.2692817448069458,3.2633478420987645,[0.11 0.22 0.29],[3.44202875 3.44215003 3.69281942],,,,,,,,,,
21,146.0,second point has a lot of air,DSM20219,B.longum,TG2022-SaturdaySunday,TG2022-SaturdaySunday,147,tbd,Jonas,,0.7529719373595408,yes,1.0,,-10.23255954606225,19.00610769479222,[0.113 0.244 0.352 0.442],[17.45539622 17.30149298 15.10343015 14.3864354 ],3.432980111406012,11.55392858795268,[0.113 0.244 0.352 0.442],[11.85825124 12.53269274 12.75749962 13.01863086],-2.5954486243367407,8.053390752100663,[0.113 0.244 0.352 0.442],[7.89270493 7.22050718 7.09417367 7.01881586],-0.6654912991530971,0.4170586308521528,[0.113 0.244 0.352 0.442],[0.36041749 0.23761049 0.15251106 0.151715  ],11.268159649895452,-0.3235112091924623,[0.113 0.244 0.352 0.442],[0.98003737 2.38706897 3.6177848  4.69071578],,,,,8.66218605919365,1.2899722333838912,[0.113 0.244 0.352 0.442],[2.05505052 3.73742586 4.38589562 4.95169309],-13.337357767170795,15.491922269275694,[0.113 0.244 0.352 0.442],[15.10073012 10.45937134 10.62994926 10.42633957],17.0,,,,,,,,,
22,96.0,,ATCC8482,B.ovatus,yield_exp_1022_wtrp,yield_exp_1022_wtrp,97,epsilon_plus,Richa,,1.744413174046323,yes,1.0,,-4.603521188912058,20.02076085068974,[0.247 0.457 0.57 ],[18.84870039 18.0169694  17.33172677],3.428836782752193,13.34216860790591,[0.247 0.457 0.57 ],[14.13278802 15.07008469 15.19197117],-0.2801960002884297,7.356340144887745,[0.247 0.457 0.57 ],[7.23157548 7.38709295 7.0933823 ],1.3907676112152054,0.5843385869054589,[0.183 0.247 0.457 0.57 ],[0.85108725 0.89796219 1.26346122 1.3511921 ],,,,,-0.0180548904975896,0.0300219263468135,[0.183 0.247 0.457 0.57 ],[0.02956534 0.02244952 0.02091673 0.02085015],5.613708026819948,2.1158508779292853,[0.247 0.457 0.57 ],[3.47222239 4.76768041 5.25951386],,,,,18.0,,,,,,,,,
23,101.0,,ATCC8482,B.ovatus,yield_exp_1022_wotrp,yield_exp_1022_wotrp,102,epsilon_plus_noTryp,Richa,,0.6751466504956466,yes,1.0,,-13.274880585292204,21.186357690750516,[0.087 0.188 0.288 0.447],[19.84544435 18.80040924 17.60558017 15.08636761],12.372009198828488,10.47815083085709,[0.087 0.188 0.288 0.447],[11.71344979 12.68632597 13.87326565 16.13529119],0.3528687485878087,-0.3256114399445105,[0.087 0.188 0.288 0.447],[-0.30156629 -0.25976059 -0.2081229  -0.17659854],2.0306067491576716,0.0193889533428748,[0.087 0.188 0.288 0.447],[0.22492317 0.38324125 0.56799516 0.95230904],,,,,-0.027181926944394,0.0554547560662302,[0.188 0.288 0.447],[0.043957   0.05803125 0.0392871 ],20.113473377968315,-0.1439713041875734,[0.087 0.188 0.288 0.447],[1.90474538 3.42569111 5.3168767  9.0914097 ],10.260886123112812,2.9008541678068807,[0.087 0.188 0.288 0.447],[3.41132931 5.47481636 5.67087466 7.40989133],19.0,,,,,,,,,
