Copy data from excel sheet summarizing hplc runs,,,
Time (h),P.distastonis3,P.distastonis3,HPLC
0,0.076,0.076,
0.166666667,0.096,0.096,230608_P.distastonis_1
0.483333333,0.117,0.117,
0.683333333,0.13,0.13,
0.983333333,0.139,0.139,230608_P.distastonis_2
1.2,0.163,0.163,
1.3,0.174,0.174,230608_P.distastonis_3
1.75,0.225,0.225,230608_P.distastonis_4
1.95,0.3,0.3,230608_P.distastonis_5
