,notes,strain,species,experiment,experiment_short,exp_number,medium,experimentator,sample_number,growth_rate,use_in_study,num_av,date_of_experiment,glucose,glucose_y0,glucose_OD,glucose_conc,acetate,acetate_y0,acetate_OD,acetate_conc,propionate,propionate_y0,propionate_OD,propionate_conc,succinate,succinate_y0,succinate_OD,succinate_conc,lactate,lactate_y0,lactate_OD,lactate_conc,butyrate,butyrate_y0,butyrate_OD,butyrate_conc,formate,formate_y0,formate_OD,formate_conc,ethanol,ethanol_y0,ethanol_OD,ethanol_conc,exp_number_usedonly
159,,ATCC21523576,B.fragilis,BHI-Dec6,BHI-Dec6,160.0,BHI,Jonas,,0.7239842857026062,no,1.0,2022-12-06 00:00:00,-4.190565322025027,7.116379194239977,[0.151 0.209 0.369 0.495],[6.56596025 6.39302874 4.99911432 5.37816152],2.328424652806876,2.919297752307544,[0.151 0.209 0.369 0.495],[3.03610958 3.16211153 4.97292245 3.35603923],5.493932414683947,9.99972969030423,[0.151 0.209 0.369 0.495],[11.21118889 10.99563779 11.33016105 13.1865043 ],-4.81395442574694,2.9680491667959066,[0.151 0.209 0.369 0.495],[2.05250823 1.90114556 1.84467737 0.18158528],0.4723036911676337,1.904521418112514,[0.151 0.209 0.369 0.495],[1.90827109 1.96869186 2.34167602 1.97754643],-0.10298872540688207,0.09719911011679418,[0.151 0.209 0.369 0.495],[0.06089988 0.10393921 0.05168494 0.04621421],8.301795386962091,1.151887672160795,[0.151 0.209 0.369 0.495],[1.55058648 1.82018072 8.97061345 2.42756758],-3.278258734673213,3.091951230408945,[0.151 0.209 0.369 0.495],[1.08156103 4.32469697 1.66615024 1.28280799],
26, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,ATCC21523576,B.fragilis,yield_scfa_simple_medium,simple,53.0,epsilon_noTryp,Richa,,0.4167087464186838,yes,1.0,,-6.289938365450791,21.822075585785804,[0.08  0.17  0.368],[21.2121392  20.90804616 19.45885949],3.6464279272493227,-0.5311763774480399,[0.08  0.17  0.368],[-0.18775361  0.01350396  0.83421298],1.684304430999654,-0.37590122868260334,[0.08  0.17  0.368],[-0.21821096 -0.12294535  0.25435276],0.42057171845550567,0.061854870990494845,[0.08  0.17  0.368],[0.09874284 0.12863609 0.218099  ],0.2261024010920949,0.043961558935192074,[0.08  0.17  0.368],[0.06669582 0.07564105 0.12927909],0.03836383085246527,0.020936037977127207,[0.17  0.368],[0.02745789 0.03505393],3.0835313355155836,0.4812523797254194,[0.08  0.17  0.368],[0.77263182 0.94043899 1.6363087 ],,,,,8.0
170,,ATCC21523576,B.fragilis,BHI-Richa-22Dec30,BHI-Richa-22Dec30,171.0,BHI,Richa/Jonas,1.0,0.4167833107515678,yes,1.0,2022-12-30 00:00:00,-2.7487508857268343,6.604874248913099,[0.123 0.146 0.175 0.273],[6.26348773 6.19113865 6.14497148 5.84904475],5.904021770490002,2.179084887376745,[0.123 0.146 0.175 0.273],[2.89515531 3.07610881 3.18238024 3.79587879],0.31428831882339775,11.994978220805573,[0.123 0.146 0.175 0.273],[12.04883244 12.06705689 11.9927749  12.09659338],1.79080738802502,1.1589936120452684,[0.123 0.146 0.175 0.273],[1.37425236 1.41572426 1.48618024 1.64382649],0.38850489302729757,1.871988050367737,[0.123 0.146 0.175 0.273],[1.91907171 1.94405833 1.92116109 1.98221908],-0.18151564104106366,0.10132610121221365,[0.123 0.146 0.175 0.273],[0.06846035 0.10008204 0.05296118 0.05365411],6.060417210933213,0.5465924778411386,[0.123 0.146 0.175 0.273],[1.43268498 1.39058752 1.44477475 2.2636418 ],,,,,9.0
0,,ATCC21523576,B.fragilis,yield_expt_090622_rerun_sep2nd,run3hplcrep,1.0,epsilon_plus,Richa,,0.4233521083146612,no,1.0,20220906,-2.198378447168603,18.539384077364286,[0.09  0.238 0.406],[18.29233714 18.10869947 17.60350584],1.4003909399098133,12.094472766647595,[0.09  0.238],[12.22050795 12.42776581],1.644531261548637,6.864346221242266,[0.09  0.238 0.406],[7.08495152 7.11919225 7.59598084],1.489231161840064,0.9098063761789322,[0.09  0.238 0.406],[1.05727833 1.23896124 1.52627524],0.08105960603001637,0.6236584517858842,[0.09  0.238],[0.63095382 0.64295064],0.14297933367589027,0.17861751100612683,[0.09  0.238 0.406],[0.2039946  0.18911786 0.24768691],2.354598346845212,1.9585910835349403,[0.09  0.238 0.406],[2.21470589 2.43584561 2.95349695],,,,,
100,,ATCC21523576,B.fragilis,yield_exp_1022_wotrp,yield_exp_1022_wotrp,101.0,epsilon_plus_noTryp,Richa,,0.3205486949394213,yes,1.0,,-8.792711813422212,20.80724144168208,[0.072 0.111 0.227 0.33 ],[20.17138621 19.82732755 18.82660019 17.89704507],5.418352300980116,10.897844883033704,[0.072 0.111 0.227 0.33 ],[11.33132705 11.43801655 12.14946178 12.68215486],2.7589289078255934,-0.427166132456977,[0.072 0.111 0.227 0.33 ],[-0.21260123 -0.14985189  0.22073309  0.47466289],0.13390971745967226,0.07888323535392583,[0.072 0.111 0.227 0.33 ],[0.09022792 0.09025308 0.1124438  0.12170134],0.7921424905068067,0.2126684381097064,[0.072 0.111 0.227 0.33 ],[0.26964092 0.30845385 0.37593261 0.48283182],,,,,5.371056390057717,0.4713369747090558,[0.072 0.111 0.227 0.33 ],[1.04418149 0.85057581 1.68562079 2.27955154],,,,,10.0
171,,ATCC21523576,B.fragilis,BHI-Richa-22Dec30,BHI-Richa-22Dec30,172.0,BHI,Richa/Jonas,2.0,1.265643549263149,yes,1.0,2022-12-30 00:00:00,-2.467117739820775,6.6472419989978455,[0.169 0.261 0.412 0.453 0.49 ],[6.20979479 6.02943732 5.62645833 5.55503836 5.41167603],14.435255164619898,1.5451765562865398,[0.169 0.261 0.412 0.453 0.49 ],[4.15928526 4.99863478 7.71089564 8.05389759 8.57009998],-0.1168441635484876,12.010735258967227,[0.261 0.412 0.453 0.49 ],[11.98029967 11.96722719 11.94766473 11.95892927],1.4499181049032879,1.1899788461834258,[0.169 0.261 0.412 0.453 0.49 ],[1.44982818 1.54938434 1.79106537 1.82817252 1.91954764],0.27292377760637165,1.801723204784422,[0.169 0.261 0.412 0.453 0.49 ],[1.84618294 1.86957444 1.93095145 1.92534664 1.9237295 ],-0.05609992221850714,0.0779734327106733,[0.169 0.261 0.412 0.453 0.49 ],[0.06815037 0.06189436 0.05771416 0.05840627 0.04356364],10.275259361199046,1.107419358473556,[0.169 0.261 0.412 0.453 0.49 ],[3.07818802 3.40217741 5.50198198 5.78584263 6.11024471],,,,,11.0
95,,ATCC21523576,B.fragilis,yield_exp_1022_wtrp,yield_exp_1022_wtrp,96.0,epsilon_plus,Richa,,0.7296753673001548,yes,1.0,,-5.279791826930086,20.333038886969895,[0.065 0.151 0.264 0.365],[19.99376075 19.50893874 18.98445839 18.38357357],3.009101069352542,12.306158552371382,[0.065 0.151 0.264 0.365],[12.46964865 12.81337785 13.08394343 13.40035467],0.21075610501395162,7.528697018703743,[0.065 0.151 0.264],[7.50798792 7.62111625 7.55814982],2.4536274439756665,0.467212129657156,[0.065 0.151 0.264 0.365],[0.64915614 0.81899189 1.08792206 1.38609362],,,,,-0.06059490728851772,0.040478382588792536,[0.065 0.151 0.264 0.365],[0.03808703 0.03049049 0.02166106 0.02047227],1.0031978073167251,2.247655887003984,[0.065 0.151 0.264 0.365],[2.27949383 2.47009353 2.46127885 2.62745948],,,,,12.0
8,double check growth conditions,ATCC21523576,B.fragilis,yield_expt_090222_modified_epsi,run3,9.0,epsilon_plus,Richa,,0.4233521083146612,yes,1.0,20220906,-5.861160610795909,19.893679952432294,[0.09  0.186 0.238 0.406],[19.38027232 18.75014472 18.54208363 17.50995138],5.4154985008909895,11.686462067304845,[0.09  0.186 0.238 0.406],[12.33189945 12.6088691  12.789227   13.99811134],0.15102269230142262,7.389401487632211,[0.09  0.186 0.238],[7.40188816 7.42063777 7.4233042 ],2.8532350339429704,0.44362223448631344,[0.09  0.186 0.238 0.406],[0.58653024 1.03572433 1.2564957  1.52071491],-0.3717147395956416,0.7465539789107423,[0.09  0.186 0.238],[0.71246368 0.67922511 0.65691177],0.1687161800776844,0.1757187483593709,[0.09  0.186 0.238 0.406],[0.19443302 0.2066601  0.20980979 0.24719097],4.197853050472463,1.8073895754696998,[0.09  0.186 0.238 0.406],[2.12431278 2.65930037 2.82787729 3.48009267],,,,,13.0
27,,DSM20219,B.longum,yield_expt_modified_epsilon_rt5,run2,28.0,epsilon_plus,Richa,,0.4565404147836125,no,1.0,,-10.988136997904077,19.76442595233487,[0.082 0.122 0.177 0.33 ],[18.71790895 18.50996064 17.9383184  16.07895041],13.612934015737025,12.13824552423559,[0.082 0.122 0.177 0.33 ],[13.41330979 13.72293251 14.3937715  16.70176438],-0.24035240294330815,7.431105742967089,[0.082 0.122 0.177 0.33 ],[7.42026014 7.38941787 7.39100649 7.35284791],-0.5159902663151015,0.44331645893178695,[0.082 0.122 0.177 0.33 ],[0.43651794 0.3707527  0.30749173 0.29163439],5.163187477002407,0.45576833553252066,[0.082 0.122 0.177 0.33 ],[0.88581448 1.02011329 1.44798213 2.14018973],-0.041018789454661635,0.06320788999924244,[0.122 0.177 0.33 ],[0.05978999 0.0537909  0.05024196],0.17034160744273388,2.547368799582984,[0.082 0.122 0.177],[2.56899567 2.55492153 2.58308935],-1.1281286509863353,9.10839446428315,[0.082 0.122 0.177 0.33 ],[9.13773651 8.95720919 8.72963525 8.80689743],
