,0
0,AsnicarF_2017
1,AsnicarF_2021
2,BackhedF_2015
3,Bengtsson-PalmeJ_2015
4,BritoIL_2016
5,BrooksB_2017
6,ChengpingW_2017
7,ChuDM_2017
8,CosteaPI_2017
9,DavidLA_2015
10,DeFilippisF_2019
11,DhakanDB_2019
12,FengQ_2015
13,FerrettiP_2018
14,GopalakrishnanV_2018
15,GuptaA_2019
16,HallAB_2017
17,HanniganGD_2017
18,HansenLBS_2018
19,Heitz-BuschartA_2016
20,HMP_2012
21,HMP_2019_ibdmdb
22,HMP_2019_t2d
23,IjazUZ_2017
24,JieZ_2017
25,KarlssonFH_2013
26,KaurK_2020
27,KeohaneDM_2020
28,KieserS_2018
29,KosticAD_2015
30,LeChatelierE_2013
31,LifeLinesDeep_2016
32,LiJ_2014
33,LiJ_2017
34,LiSS_2016
35,LiuW_2016
36,LokmerA_2019
37,LomanNJ_2013
38,LoombaR_2017
39,LouisS_2016
40,MatsonV_2018
41,MehtaRS_2018
42,NagySzakalD_2017
43,NielsenHB_2014
44,Obregon-TitoAJ_2015
45,OlmMR_2017
46,PasolliE_2019
47,PehrssonE_2016
48,QinJ_2012
49,QinN_2014
50,RampelliS_2015
51,RaymondF_2016
52,RosaBA_2018
53,RubelMA_2020
54,SankaranarayananK_2015
55,SchirmerM_2016
56,ShaoY_2019
57,SmitsSA_2017
58,TettAJ_2019
59,ThomasAM_2019
60,VatanenT_2016
61,VilaAV_2018
62,VincentC_2016
63,VogtmannE_2016
64,WampachL_2018
65,WirbelJ_2018
66,XieH_2016
67,YachidaS_2019
68,YassourM_2016
69,YassourM_2018
70,YeZ_2018
71,YuJ_2015
72,ZeeviD_2015
73,ZellerG_2014
74,ZhuF_2020
