,area,concentration
4,0.45862941867473817,3.0
4,3.2543599780901866,20.0
4,0.010002193230479788,0.1
4,0.7445851200630839,5.0
4,1.5807744589520816,10.0
4,1.8961434081013722,12.0
4,1.142931425046715,8.0
4,2.2874129227763778,15.0
5,0.21330664471011104,1.0
