,area,concentration
10,1169.3563302874359,5.0
10,733.7256969226435,3.0
11,37.54419362665882,0.5
12,114.64979429341777,0.5
10,1810.3296380003635,8.0
10,2246.9956839274346,10.0
10,295.08406190290293,1.0
