,area,concentration
8,1.4808522992781432,3.0
7,10.462353445639042,20.0
6,0.08639552756655963,0.1
8,2.4388460186902097,5.0
8,4.931481615618908,10.0
8,5.8846809358113985,12.0
8,3.8505145045170117,8.0
8,7.309889403552122,15.0
9,0.46930410860390726,1.0
