retention_time_min,retention_time_max,substrate,substrate_label,calibration
14.2,15.5,glucose,glu,YCA_Zurich_glucose_2308
23.5,24.5,acetate,ace,YCA_Zurich_acetate_2308
27.5,28.3,propionate,prp,YCA_Zurich_propionate_2308
19.7,20.3,succinate,suc,YCA_Zurich_succinate_2308
32,33.5,ethanol,eth,Stan_water_ethanol_2307
20.3,20.7,lactate,lac,YCA_Zurich_lactate_2308
34.3,34.8,butyrate,but,YCA_Zurich_butyrate_2308
21.8,22.3,formate,for,YCA_Zurich_formate_2308
12.6,13,maltose,mal,YCA_Zurich_maltose_2308
