Time (hh:mm),Time (h),P.vulgatus,P.vulgatus,HPLC,pH,Time (hh:mm),Time (h),P.vulgatus_2,P.vulgatus_2,HPLC,pH,Time (hh:mm),Time (h),P.copri,P.copri,HPLC,pH,Time (hh:mm),Time (h),P.copri_2,P.copri_2,HPLC,pH,Time (hh:mm),Time (h),R.intestinalis,R.intestinalis,HPLC,pH,Time (hh:mm),Time (h),R.intestinalis_2,R.intestinalis_2,HPLC,pH,Time (hh:mm),Time (h),R.bromii,R.bromii,HPLC,pH,Time (hh:mm),Time (h),R.bromii_2,R.bromii_2,HPLC,pH
15:25,0,0.084,0.084,,,15:25,0,0.108,0.108,061224_P.vulgatus_pH6.78_2_1,6.78,15:00,0,0.044,0.044,,,15:00,0,0.045,0.045,,,11:15,0,0.044,,,,11:15,0,0.042,,,,13:35,0,0.073,0.073,062624_R.bromii_pH6.5_1,,13:35,0,0.075,0.075,062624_R.bromii_pH6.5_2_1,
15:32,0.12,0.107,0.107,061224_P.vulgatus_pH6.78_1,6.78,15:54,0.48,0.244,0.244,,,15:22,0.37,0.11,0.11,061424_P.copri_pH6.5_1,6.74,15:22,0.37,0.084,0.084,,,11:44,0.48,0.045,,,,11:44,0.48,0.044,,,,13:55,0.33,0.105,0.105,062624_R.bromii_pH6.5_2,6.46,13:55,0.33,0.102,0.102,062624_R.bromii_pH6.5_2_2,6.45
15:54,0.48,0.202,0.202,,,15:59,0.57,0.28,0.28,061224_P.vulgatus_pH6.78_2_2,6.77,15:32,0.53,0.158,0.158,,,15:32,0.53,0.132,0.132,061424_P.copri_pH6.5_2_1,6.72,12:06,0.85,0.052,0.052,,,12:06,0.85,0.05,0.05,,,15:10,1.58,0.477,0.477,062624_R.bromii_pH6.5_3,6.38,15:10,1.58,0.45,0.45,062624_R.bromii_pH6.5_2_3,6.39
15:59,0.57,0.225,0.225,061224_P.vulgatus_pH6.78_2,6.79,16:16,0.85,0.415,0.415,,,15:42,0.7,0.251,0.251,061424_P.copri_pH6.5_2,6.67,15:42,0.7,0.185,0.185,,,12:38,1.38,0.071,0.071,,,12:38,1.38,0.076,0.076,,,15:30,1.92,0.662,0.662,,6.36,15:30,1.92,0.6,0.6,,6.34
16:16,0.85,0.361,0.361,,,16:25,1,0.506,0.506,061224_P.vulgatus_pH6.78_2_3,6.77,15:53,0.88,0.36,0.36,,,15:53,0.88,0.283,0.283,061424_P.copri_pH6.5_2_2,6.68,13:00,1.75,0.093,0.093,062824_R.intestinalis_pH6.5_1,6.9,13:00,1.75,0.106,0.106,062824_R.intestinalis_pH6.5_2_1,6.92,,,,,,,,,,,,
16:25,1,0.452,0.452,061224_P.vulgatus_pH6.78_3,6.75,,,,,,,16:04,1.07,0.49,0.49,061424_P.copri_pH6.5_3,6.66,16:04,1.07,0.399,0.399,,,13:16,2.02,0.116,0.116,,,13:16,2.02,0.131,0.131,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,16:10,1.17,0.479,0.479,061424_P.copri_pH6.5_2_3,6.64,14:12,2.95,0.347,0.347,062824_R.intestinalis_pH6.5_2,7.01,14:12,2.95,0.38,0.38,062824_R.intestinalis_pH6.5_2_2,7,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,14:33,3.3,0.54,0.54,062824_R.intestinalis_pH6.5_3,6.93,14:33,3.3,0.612,0.612,062824_R.intestinalis_pH6.5_2_3,6.92,,,,,,,,,,,,
