Time (hh:mm),Time (h),P.vulgatus,P.vulgatus,HPLC,pH,Time (hh:mm),Time (h),P.vulgatus_2,P.vulgatus_2,HPLC,pH,Time (hh:mm),Time (h),P.copri,P.copri,HPLC,pH,Time (hh:mm),Time (h),P.copri_2,P.copri_2,HPLC,pH,Time (hh:mm),Time (h),R.intestinalis,R.intestinalis,HPLC,pH,Time (hh:mm),Time (h),R.intestinalis_2,R.intestinalis_2,HPLC,pH,Time (hh:mm),Time (h),R.bromii,R.bromii,HPLC,pH,Time (hh:mm),Time (h),R.bromii_2,R.bromii_2,HPLC,pH
10:09,0,0.089,0.089,,,10:09,0,0.076,0.076,,,10:11,0,0.089,,,,10:11,0,0.091,,,,11:15,0,0.039,,,,11:15,0,0.038,,,,13:35,0,0.041,0.041,,,13:35,0,0.048,0.048,,
10:45,0.6,0.105,0.105,,,10:45,0.6,0.097,0.097,,,10:49,0.63,0.092,,,,10:49,0.63,0.094,,,,11:44,0.48,0.042,,,,11:44,0.48,0.046,,,,13:55,0.33,0.055,0.055,,,13:55,0.33,0.062,0.062,,
11:02,0.88,0.14,0.14,061424_P.vulgatus_pH5.5_1,5.68,11:02,0.88,0.137,0.137,061424_P.vulgatus_pH5.5_2_1,5.67,11:07,0.93,0.096,0.096,,,11:07,0.93,0.095,,,,12:06,0.85,0.049,0.049,,,12:06,0.85,0.047,,,,15:10,1.58,0.162,0.162,062624_R.bromii_pH5.5_1,5.52,15:10,1.58,0.187,0.187,062624_R.bromii_pH5.5_2_1,5.52
11:22,1.22,0.19,0.19,,,11:22,1.22,0.187,0.187,,,11:42,1.52,0.115,0.115,061424_P.copri_pH5.5_1,5.64,11:42,1.52,0.1,0.1,061424_P.copri_pH5.5_2_1,5.66,12:38,1.38,0.054,0.054,,,12:38,1.38,0.058,0.058,,,15:30,1.92,0.207,0.207,,,15:30,1.92,0.243,0.243,,
11:49,1.67,0.313,0.313,061424_P.vulgatus_pH5.5_2,5.62,11:49,1.67,0.29,0.29,061424_P.vulgatus_pH5.5_2_2,5.63,12:21,2.17,0.173,0.173,,,12:21,2.17,0.166,0.166,,,13:00,1.75,0.07,0.07,,,13:00,1.75,0.067,0.067,,,15:54,2.32,0.29,0.29,062624_R.bromii_pH5.5_2,5.49,15:54,2.32,0.34,0.34,062624_R.bromii_pH5.5_2_2,5.49
11:56,1.78,0.344,0.344,,,11:56,1.78,0.327,0.327,,,12:39,2.47,0.21,0.21,061424_P.copri_pH5.5_2,5.66,12:39,2.47,0.224,0.224,061424_P.copri_pH5.5_2_2,5.66,13:16,2.02,0.076,0.076,,,13:16,2.02,0.076,0.076,,,16:10,2.58,0.348,0.348,062624_R.bromii_pH5.5_3,5.49,16:10,2.58,0.388,0.388,062624_R.bromii_pH5.5_2_3,5.46
12:08,1.98,0.401,0.401,061424_P.vulgatus_pH5.5_3,5.56,12:08,1.98,0.387,0.387,061424_P.vulgatus_pH5.5_2_3,5.58,12:58,2.78,0.288,0.288,,,12:58,2.78,0.29,0.29,,,14:11,2.93,0.14,0.14,062824_R.intestinalis_pH5.5_1,5.9,14:11,2.93,0.15,0.15,062824_R.intestinalis_pH5.5_2_1,5.9,16:21,2.77,0.39,0.39,,,16:21,2.77,0.443,0.443,,
12:29,2.33,0.507,0.507,061424_P.vulgatus_pH5.5_4,5.52,12:29,2.33,0.48,0.48,061424_P.vulgatus_pH5.5_2_4,5.55,13:11,3,0.357,0.357,061424_P.copri_pH5.5_3,5.66,13:11,3,0.369,0.369,061424_P.copri_pH5.5_2_3,5.64,14:31,3.27,0.187,0.187,,,14:31,3.27,0.2,0.2,,,16:25,2.83,0.398,0.398,062624_R.bromii_pH5.5_4,5.43,16:25,2.83,0.46,0.46,062624_R.bromii_pH5.5_2_4,5.4
,,,,,,,,,,,,13:22,3.18,0.444,0.444,,,13:22,3.18,0.434,0.434,,,14:41,3.43,0.219,0.219,062824_R.intestinalis_pH5.5_2,5.84,14:41,3.43,0.24,0.24,062824_R.intestinalis_pH5.5_2_2,5.84,,,,,,,,,,,,
,,,,,,,,,,,,13:27,3.27,0.472,0.472,061424_P.copri_pH5.5_4,5.6,13:27,3.27,0.466,0.466,061424_P.copri_pH5.5_2_4,5.59,14:52,3.62,0.257,0.257,,,14:52,3.62,0.285,0.285,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15:00,3.75,0.29,0.29,062824_R.intestinalis_pH5.5_3,5.8,15:00,3.75,0.314,0.314,062824_R.intestinalis_pH5.5_2_3,5.79,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15:23,4.13,0.41,0.41,062824_R.intestinalis_pH5.5_4,5.75,15:23,4.13,0.452,0.452,062824_R.intestinalis_pH5.5_2_4,5.71,,,,,,,,,,,,
