Time (hh:mm),Time (h),P.vulgatus,P.vulgatus,HPLC,pH,Time (hh:mm),Time (h),P.vulgatus_2,P.vulgatus_2,HPLC,pH,Time (hh:mm),Time (h),P.copri,P.copri,HPLC,pH,Time (hh:mm),Time (h),P.copri_2,P.copri_2,HPLC,pH,Time (hh:mm),Time (h),R.intestinalis,R.intestinalis,HPLC,pH,Time (hh:mm),Time (h),R.intestinalis_2,R.intestinalis_2,HPLC,pH,Time (hh:mm),Time (h),R.bromii,R.bromii,HPLC,pH,Time (hh:mm),Time (h),R.bromii_2,R.bromii_2,HPLC,pH
10:45,0,0.044,0.044,,,10:45,0,0.045,0.045,,,10:46,0,0.043,,,,10:46,0,0.056,,,,11:15,0,0.041,,,,11:15,0,0.044,,,,13:35,0,0.04,0.04,,,13:35,0,0.033,0.033,,
11:02,0.28,0.059,0.059,,,11:02,0.28,0.058,0.058,,,11:47,1.02,0.056,,,,11:47,1.02,0.053,,,,11:44,0.48,0.046,,,,11:44,0.48,0.044,,,,13:55,0.33,0.064,0.064,,,13:55,0.33,0.058,0.058,,
11:22,0.62,0.098,0.098,061424_P.vulgatus_pH6_1,6.07,11:22,0.62,0.097,0.097,061424_P.vulgatus_pH6_2_1,6.06,14:20,3.57,0.058,,,,14:20,3.57,0.055,,,,12:06,0.85,0.05,0.05,,,12:06,0.85,0.052,0.052,,,15:07,1.53,0.281,0.281,062624_R.bromii_pH6_1,6.03,15:07,1.53,0.305,0.305,062624_R.bromii_pH6_2_1,6.02
11:49,1.07,0.147,0.147,,,11:49,1.07,0.14,0.14,,,14:52,4.1,0.06,,,,14:52,4.1,0.056,,,,12:38,1.38,0.067,0.067,,,12:38,1.38,0.067,0.067,,,15:20,1.75,0.371,0.371,062624_R.bromii_pH6_2,6.01,15:20,1.75,0.385,0.385,062624_R.bromii_pH6_2_2,5.99
11:56,1.18,0.171,0.171,,,11:56,1.18,0.176,0.176,,,15:14,4.47,0.076,0.076,061724_P.copri_pH6_1,5.95,15:14,4.47,0.063,0.063,061724_P.copri_pH6_2_1,5.99,13:00,1.75,0.084,0.084,,,13:00,1.75,0.084,0.084,,,15:52,2.28,0.658,0.658,062624_R.bromii_pH6_3,5.89,15:52,2.28,0.652,0.652,062624_R.bromii_pH6_2_3,5.93
12:08,1.38,0.218,0.218,061424_P.vulgatus_pH6_2,6.03,12:08,1.38,0.221,0.221,061424_P.vulgatus_pH6_2_2,6.04,16:48,6.03,0.085,0.085,,,16:48,6.03,0.077,0.077,,,13:16,2.02,0.104,0.104,062824_R.intestinalis_pH6_1,6.42,13:16,2.02,0.102,0.102,062824_R.intestinalis_pH6_2_1,6.43,,,,,,,,,,,,
12:29,1.73,0.344,0.344,061424_P.vulgatus_pH6_3,6.02,12:29,1.73,0.347,0.347,061424_P.vulgatus_pH6_2_3,6.05,17:13,6.45,0.092,0.092,061724_P.copri_pH6_2,5.98,17:13,6.45,0.105,0.105,061724_P.copri_pH6_2_2,5.97,14:11,2.93,0.264,0.264,062824_R.intestinalis_pH6_2,6.4,14:11,2.93,0.269,0.269,062824_R.intestinalis_pH6_2_2,6.41,,,,,,,,,,,,
12:44,1.98,0.452,0.452,061424_P.vulgatus_pH6_4,5.99,12:44,1.98,0.478,0.478,061424_P.vulgatus_pH6_2_4,5.98,17:56,7.17,0.207,0.207,061724_P.copri_pH6_3,5.96,17:56,7.17,0.282,0.282,061724_P.copri_pH6_2_3,5.93,14:32,3.28,0.404,0.404,062824_R.intestinalis_pH6_3,6.33,14:32,3.28,0.409,0.409,062824_R.intestinalis_pH6_2_3,6.34,,,,,,,,,,,,
,,,,,,,,,,,,18:30,7.73,0.525,0.525,061724_P.copri_pH6_4,5.9,18:30,7.73,0.65,0.65,061724_P.copri_pH6_2_4,5.84,14:42,3.45,0.49,0.49,,,14:42,3.45,0.495,0.495,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,14:52,3.62,0.572,0.572,062824_R.intestinalis_pH6_4,6.28,14:52,3.62,0.583,0.583,062824_R.intestinalis_pH6_2_4,6.28,,,,,,,,,,,,
