required,,,,,,,,,,,,,,,,,,,,not required
sample,foldername,peak_assignment,hplc_machine,peaks_manual,peaks_autofitting,background_substraction,setting_background_substraction,fitting_boundaries,time_window,concentration,unit,concentration_lactose,unit_lactose,concentration_maltose,unit_maltose,concentration_glucose,unit_glucose,concentration_succinate,unit_succinate,notes
N-C-_230630_xyl_sor_glu_8mM_mal_4mM,Stan_calibration_N-C-_230630_diffsugars,None,Shimadzu_ProminenceLC2030C,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",8,mM,,,4,mM,,,,,
N-C-_230630_xyl_sor_glu_10mM_mal_5mM,Stan_calibration_N-C-_230630_diffsugars,None,Shimadzu_ProminenceLC2030C,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",10,mM,,,5,mM,,,,,
N-C-_230630_glu20_sor15_fru10_suc10_xyl8_mal5_lac2.5,Stan_calibration_N-C-_230630_all_and_no_sugars,None,Shimadzu_ProminenceLC2030C,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",10,mM,,,,,,,,,
N-C-_230630,Stan_calibration_N-C-_230630_all_and_no_sugars,None,Shimadzu_ProminenceLC2030C,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",0,mM,,,,,,,,,
230618_YCA_2mM_Mal_2mM,Stan_YCA_calibration_2.5mM_H2SO4_mal,None,Shimadzu_ProminenceLC2030C,[13],TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[11,20]",2,mM,,,,,,,,,
230618_YCA_5mM_Mal_5mM,Stan_YCA_calibration_2.5mM_H2SO4_mal,None,Shimadzu_ProminenceLC2030C,[13],TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[11,20]",5,mM,,,,,,,,,
230618_YCA_8mM_Mal_8mM,Stan_YCA_calibration_2.5mM_H2SO4_mal,None,Shimadzu_ProminenceLC2030C,[13],TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[11,20]",8,mM,,,,,,,,,
230618_YCA_10mM_Mal_10mM,Stan_YCA_calibration_2.5mM_H2SO4_mal,None,Shimadzu_ProminenceLC2030C,[13],TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[11,20]",10,mM,,,,,,,,,
230618_YCA_20mM_Mal_20mM,Stan_YCA_calibration_2.5mM_H2SO4_mal,None,Shimadzu_ProminenceLC2030C,[13],TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[11,20]",20,mM,,,,,,,,,
230618_YCA_0.5mM_scfa_5mM_glu_5mM,Stan_YCA_calibration_2.5mM_H2SO4,None,Shimadzu_ProminenceLC2030C,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",5,mM,,,,,,,,,
