retention_time_min,retention_time_max,substrate,substrate_label,calibration
14.2,15.5,glucose,glu,YCA_Zurich_glucose_2308
23.5,24.5,acetate,ace,YCA_Zurich_acetate_2308
27.9,28.6,propionate,prp,YCA_Zurich_propionate_2308
20.6,21,lactate,lac,YCA_Zurich_lactate_2308
20.1,20.6,succinate,suc,YCA_Zurich_succinate_2308
34.3,34.8,butyrate,but,YCA_Zurich_butyrate_2308
22,22.5,formate,for,YCA_Zurich_formate_2308
12.6,13,maltose,mal,YCA_Zurich_maltose_2308
