retention_time_min,retention_time_max,substrate,substrate_label,calibration
15.2,16,glucose,glu,Stan_water_glucose_2307
24.8,26,acetate,ace,Stan_water_acetate_2307
28.4,29.5,propionate,prp,Stan_water_propionate_2307
32,33.5,ethanol,eth,Stan_water_ethanol_2307
20.5,21.5,succinate,suc,Stan_water_succinate_2307
21.5,22,lactate,lac,Stan_water_lactate_Nasalt_2308
35,36.5,butyrate,but,Stan_water_butyrate_2307
23,23.6,formate,for,Stan_water_formate_2307
12.9,13.7,maltose,mal,Stan_water_maltose_2307
