retention_time_min,retention_time_max,substrate,substrate_label,calibration
15.7,17,glucose,glu,YCA_Zurich_glucose_2308
24,25.5,acetate,ace,YCA_Zurich_acetate_2308
29.5,30.4,propionate,prp,YCA_Zurich_propionate_2308
19.8,20.8,succinate,suc,YCA_Zurich_succinate_2308
33.5,35,ethanol,eth,Stan_water_ethanol_2307
20.8,21.6,lactate,lac,YCA_Zurich_lactate_2308
35,36.5,butyrate,but,YCA_Zurich_butyrate_2308
22.8,23.5,formate,for,YCA_Zurich_formate_2308
14.1,14.5,maltose,mal,YCA_Zurich_maltose_2308
