,exp_number,medium,experiment,experimentator,date_of_experiment,experiment_short,sample_number,strain,species,use_in_study,quality,skip,notes,notes_2,culture,growth-rate,y0,glucose-turnover,glucose_error,glucose_val,acetate-turnover,acetate_error,acetate_val,propionate-turnover,propionate_error,propionate_val,ethanol-turnover,ethanol_error,ethanol_val,succinate-turnover,succinate_error,succinate_val,lactate-turnover,lactate_error,lactate_val,butyrate-turnover,butyrate_error,butyrate_val,formate-turnover,formate_error,formate_val,maltose-turnover,maltose_error,maltose_val,growthcurve_time,growthcurve_OD,,,,,,,,,,,,
37,37,YCA,analysis_Zur_Newruns_2023_June,Markus,,analysis_Zur_Newruns_2023_June,,DSM14610,R.intestinalis,yes,OK,,,,R.intestinalis09,0.741929355,0.074120473,-6.87910153,0.814488728,"[[0.177, 0.227, 0.34, 0.49, 0.67], [16.934816799868713, 16.54304712252458, 15.58685613988952, 14.136598063783442, 13.729583796948752]]",2.84674252,0.503929269,"[[0.177, 0.227, 0.34, 0.49, 0.67], [10.29065289288098, 10.371448239153857, 10.415846439012483, 10.69232260669638, 11.798346548318388]]",0.277756542,0.317021857,"[[0.177, 0.227, 0.34, 0.49, 0.67], [6.849950447747829, 6.740008738782504, 6.565615420585375, 6.534091161077558, 7.02662300459949]]",0.003996451,2.79E-06,"[[0.177, 0.227, 0.34, 0.49], [-1.2016962769888162, -1.2019654850572297, -1.2017461251016641, -1.20053429156204]]",0.06324598,0.002333113,"[[0.177, 0.227, 0.34, 0.49, 0.67], [0.4252265435872051, 0.4576552371147017, 0.41903878230520913, 0.4582237182387171, 0.46465899202856437]]",-0.079968676,0.002748949,"[[0.177, 0.227, 0.34, 0.49, 0.67], [0.8085100141284773, 0.7735816690700112, 0.7944513502084152, 0.7459240443306007, 0.7666729407030519]]",3.559847323,0.096215246,"[[0.177, 0.227, 0.34, 0.49, 0.67], [0.7798880190474975, 0.8386705107609224, 1.1068918001993242, 1.9093982151145994, 2.4299982512681573]]",,,"[[], []]",0.654930563,2.451841641,"[[0.177, 0.227, 0.34, 0.67], [1.6255887482195022, 0.6884039698015084, 0.6863141462676114, 1.5161861282280475]]","[0.0, 0.616666667, 1.116666667, 1.716666667, 2.45, 2.9, nan, nan, nan, nan, nan, nan, nan]","[0.068, 0.124, 0.174, 0.287, 0.437, 0.617, nan, nan, nan, nan, nan, nan, nan]",,,,,,,,,,,,
38,38,YCA,analysis_Zur_Newruns_2023_June,Markus,,analysis_Zur_Newruns_2023_June,,DSM20219,B.longum,yes,OK,,"checked, makes pro",,B.longum09,0.531394349,0.051858189,-10.73456152,3.977075905,"[[0.247, 0.287, 0.359, 0.45], [15.634861330573568, 14.91669280536308, 14.718667800580302, 13.274304472884424]]",15.47982176,2.82375913,"[[0.247, 0.287, 0.359, 0.45], [11.781153468087112, 12.504569684085673, 13.941028039844932, 14.88131011027301]]",1.579021207,1.024769099,"[[0.247, 0.287, 0.359, 0.45], [6.636946495318266, 6.738638965603436, 7.063423143116196, 6.92312986375279]]",,,"[[0.287], [-1.2022327601685612]]",0.459095234,0.000227962,"[[0.247, 0.287, 0.359, 0.45], [0.5055059090609559, 0.5224843081002697, 0.5529972198036412, 0.5989103137829966]]",3.249096224,0.040458756,"[[0.247, 0.287, 0.359, 0.45], [1.2887796429629574, 1.4703419774676894, 1.6493479019531117, 1.9710407997612462]]",,,"[[], []]",1.612366594,0.198752893,"[[0.247, 0.287, 0.359, 0.45], [1.0554208414884516, 1.1673600552002958, 1.3529887631297357, 1.3791695115735587]]",0.962151558,14.40488678,"[[0.247, 0.287, 0.359, 0.45], [0.7220772985034417, 0.6431547712459132, 1.6580841322900919, 0.6987473690994872]]","[0.0, 0.566666667, 1.05, 1.733333333, 2.366666667, 2.85, 3.366666667, 3.85, nan, nan, nan, nan, nan]","[0.053, 0.066, 0.093, 0.128, 0.194, 0.234, 0.306, 0.397, nan, nan, nan, nan, nan]",,,,,,,,,,,,
39,39,YCA,analysis_Zur_Newruns_2023_June,Markus,,analysis_Zur_Newruns_2023_June,,ATCC33656,E.rectale,yes,OK,,checked,,E.rectale11,0.800462709,0.038196318,-6.702644424,0.185272251,"[[0.14, 0.2, 0.278, 0.344, 0.512], [14.394869615065783, 13.870075013876608, 13.627162467288674, 12.945458833768676, 11.878714033386029]]",2.318076621,0.251536281,"[[0.14, 0.2, 0.278, 0.344, 0.512], [9.228085473525166, 9.27202420200076, 9.680632984090408, 9.888020095295262, 10.01677290927115]]",0.723854043,0.248732158,"[[0.14, 0.2, 0.278, 0.344, 0.512], [5.916495972139939, 6.012411314595138, 6.302839548201376, 6.240700792786545, 6.190844181686494]]",,,"[[], []]",0.171494841,0.01535041,"[[0.14, 0.2, 0.278, 0.344, 0.512], [0.344237969851656, 0.2918924510567393, 0.3042373140939416, 0.3763610199360205, 0.3764197914916873]]",-0.133025066,0.00781679,"[[0.14, 0.2, 0.278, 0.344, 0.512], [0.9558244239289139, 0.9951814607672484, 0.9868532692051392, 0.9706423819397283, 0.921316972760042]]",3.499565802,0.03126524,"[[0.14, 0.2, 0.278, 0.344, 0.512], [0.547892991821224, 0.7737813306745486, 1.0748253509134653, 1.3604580117053477, 1.8377333006316483]]",1.243252283,0.13545265,"[[0.14, 0.2, 0.278, 0.344, 0.512], [0.5385591420710119, 0.7265075544591342, 0.6895734764820155, 0.9849661206372511, 1.005264582526949]]",0.182227903,0.074694762,"[[0.14, 0.2, 0.278, 0.344, 0.512], [1.1182164281450382, 1.1913662484387846, 1.2155065528957456, 1.0634262345738437, 1.2395721976972787]]","[0.0, 0.633333333, 1.033333333, 1.716666667, 2.216666667, 2.666666667, 3.133333333, nan, nan, nan, nan, nan, nan]","[0.032, 0.075, 0.093, 0.153, 0.231, 0.297, 0.465, nan, nan, nan, nan, nan, nan]",,,,,,,,,,,,
40,40,YCA,analysis_Zur_Newruns_2023_June,Markus,,analysis_Zur_Newruns_2023_June,,DSM17677,F.prausnitzii,yes,OK,,checked,,F.prausnitzii11,0.358697721,0.04267203,,,"[[], []]",-0.336671099,0.265249539,"[[0.165, 0.222, 0.286, 0.3, 0.374], [9.27777163643473, 9.24404537311908, 9.120855273602228, 9.12168540231407, 9.2516236063174]]",0.857896411,0.199563528,"[[0.165, 0.222, 0.286, 0.3, 0.374], [6.113133935215165, 6.082155074093597, 6.089339620360966, 6.25214858759866, 6.2697002079222655]]",,,"[[], []]",-0.12984888,0.158379681,"[[0.165, 0.222, 0.286, 0.3, 0.374], [0.42139685014538425, 0.3477843635020561, 0.4260550382375383, 0.471678750295082, 0.34118407092533326]]",-0.469014211,0.10147948,"[[0.165, 0.222, 0.286, 0.3, 0.374], [0.7404061466218421, 0.6690456694681747, 0.638677651920547, 0.5806462076351011, 0.6575110816753809]]",3.881885419,0.077076836,"[[0.165, 0.222, 0.286, 0.3, 0.374], [0.8634608151441385, 1.1492406464308924, 1.3190701324220766, 1.4566995968491463, 1.6860070695193925]]",5.158179704,0.392531881,"[[0.165, 0.222, 0.286, 0.3, 0.374], [1.6695251803310607, 2.0677948745523835, 2.1777002164326626, 2.4432628826297336, 2.79059328921281]]",-2.156832541,0.167755375,"[[0.165, 0.222, 0.286, 0.3, 0.374], [9.561337823140146, 9.438625978677445, 9.193013624307332, 9.211022234151933, 9.145000915556686]]","[2.8, 3.566666667, 3.983333333, 4.433333333, 4.683333333, 5.116666667, 5.6, nan, nan, nan, nan, nan, nan]","[0.118, 0.152, 0.175, 0.209, 0.239, 0.253, 0.327, nan, nan, nan, nan, nan, nan]",,,,,,,,,,,,
41,41,YCA,analysis_Zur_Newruns_2023_June,Markus,,analysis_Zur_Newruns_2023_June,,DSM20219,B.longum,yes,OK,,"checked, makes pro, for noisy",,B.longum11,0.544441536,0.063423174,-8.292037384,0.169551405,"[[0.112, 0.26, 0.325, 0.461, 0.528], [14.219137281907525, 13.050549624143372, 12.319591475677615, 11.172100808302563, 10.884196137209084]]",12.00295202,0.428666054,"[[0.112, 0.26, 0.325, 0.461, 0.528], [9.728480464691003, 11.287874871647409, 12.522228790139112, 14.035747789873088, 14.572334441027984]]",1.830119576,0.027910432,"[[0.112, 0.26, 0.325, 0.461, 0.528], [5.556435231093454, 5.865484244673247, 6.039356003124657, 6.263560598423615, 6.294780940447696]]",,,"[[], []]",0.514166776,0.007901503,"[[0.112, 0.26, 0.325, 0.461, 0.528], [0.35839611518853964, 0.39741340745533316, 0.4711996907555582, 0.4950759202888614, 0.5852443868955368]]",3.107293819,0.016613293,"[[0.112, 0.26, 0.325, 0.461, 0.528], [1.0000309663202573, 1.5070073012238878, 1.723856396018027, 2.1460418424212238, 2.275737234181697]]",,,"[[], []]",1.095830594,0.132611244,"[[0.112, 0.26, 0.325, 0.461, 0.528], [0.5325103941774086, 0.885686116331794, 1.0113591994424511, 1.0069693088038347, 1.0216444535860592]]",0.117533201,0.075685678,"[[0.112, 0.26, 0.325, 0.461, 0.528], [1.0995544843004097, 1.0284276400623824, 1.1085691522031005, 1.236069711314342, 1.049644602499941]]","[0.0, 0.833333333, 1.3, 1.5, 2.283333333, 2.416666667, 2.916666667, 3.333333333, 3.633333333, nan, nan, nan, nan]","[0.065, 0.104, 0.123, 0.142, 0.213, 0.242, 0.278, 0.414, 0.481, nan, nan, nan, nan]",,,,,,,,,,,,
42,42,YCA,analysis_Zur_Newruns_2023_June,Markus,,analysis_Zur_Newruns_2023_June,,DSM20083,B.adolescentis,yes,OK,,"checked, makes pro",,B.adolescentis11,0.676736599,0.14690209,-8.853173988,0.265937998,"[[0.188, 0.321, 0.43, 0.58], [13.513562353789712, 12.607378255357297, 11.408216653256531, 10.113394163480695]]",12.20396711,0.169701808,"[[0.188, 0.321, 0.43, 0.58], [10.339010223411146, 11.871818863501987, 13.10169052387152, 15.144315724260638]]",3.829331046,0.358268355,"[[0.188, 0.321, 0.43, 0.58], [4.648394753758041, 5.359535841399906, 5.843227537909305, 6.14142429028989]]",,,"[[], []]",0.81080742,0.040430079,"[[0.188, 0.321, 0.43, 0.58], [0.3434008912228976, 0.4039315158365278, 0.6002509949398973, 0.6321429360775864]]",3.334154733,0.028576,"[[0.188, 0.321, 0.43, 0.58], [1.5304713908025294, 1.96891176812485, 2.264096686057014, 2.8543710979706605]]",,,"[[], []]",0.366720696,0.151251862,"[[0.188, 0.321, 0.43, 0.58], [0.7442122294213223, 0.9661301586041553, 0.9869526920955055, 0.9001216151146842]]",-0.272995528,0.001166641,"[[0.188, 0.321, 0.43, 0.58], [1.0860944386221292, 1.0639854394818213, 1.0155528321849485, 0.9843694235985021]]","[0.0, 0.766666667, 1.1, 1.433333333, 1.683333333, 1.85, nan, nan, nan, nan, nan, nan, nan]","[0.141, 0.274, 0.3, 0.383, 0.433, 0.533, nan, nan, nan, nan, nan, nan, nan]",,,,,,,,,,,,
43,43,YCA,analysis_Zur_Newruns_2023_June,Markus,,analysis_Zur_Newruns_2023_June,,ATCC29148,B.theta,yes,OK,,check chromatogram,,B.theta,0.863519832,0.024318109,-8.147591397,1.167477767,"[[0.16, 0.23, 0.31, 0.4, 0.56, 0.7], [21.70679616610015, 22.27820127878173, 20.704211891394557, 19.759200912704834, 19.12105223761567, 17.60876708344767]]",5.247045952,0.443199924,"[[0.16, 0.23, 0.31, 0.4, 0.56, 0.7], [9.11304850861792, 10.289886697581798, 10.304973417323149, 10.89533972188506, 11.71382079407192, 12.203471892804208]]",0.796543211,0.043172374,"[[0.16, 0.23, 0.31, 0.4, 0.56, 0.7], [6.916318932287811, 6.952668952201993, 6.927234281857348, 6.908253495835831, 7.12425844877873, 7.371095901713007]]",-0.005224531,1.40E-05,"[[0.16, 0.23, 0.31, 0.4, 0.56, 0.7], [-1.197360315479604, -1.2018152386139955, -1.2016121055638618, -1.202308423268721, -1.2013781059017727, -1.2021738066080863]]",3.318894848,0.488012739,"[[0.16, 0.23, 0.31, 0.4, 0.56, 0.7], [0.8560401529323205, 1.0067727060644782, 2.0446951299554197, 2.0162344997521666, 2.3018078098495343, 2.720360756542704]]",,,"[[0.16, 0.23], [1.0030136598373263, 1.0997536847439675]]",,,"[[], []]",0.190913449,2.515293084,"[[0.4, 0.56, 0.7], [1.9427545173365637, 2.3761905387826383, 1.9817153762145443]]",-0.738967322,0.032120631,"[[0.16, 0.23, 0.31, 0.4, 0.56, 0.7], [2.2723106942108133, 2.2396547532003765, 2.112836207718551, 1.9743020860695064, 2.0712230131774216, 1.8214763035522994]]","[0.0, 0.5, 1.25, 1.5, 2.166666667, 2.583333333, 3.083333333, 3.55, 3.916666667, nan, nan, nan, nan]","[0.025, 0.028, 0.081, 0.101, 0.171, 0.251, 0.341, 0.501, 0.641, nan, nan, nan, nan]",,,,,,,,,,,,
45,45,YCA,analysis_Zur_Newruns_2023_June,Markus,,analysis_Zur_Newruns_2023_June,,DSM14610,R.intestinalis,yes,OK,,,,R.intestinalis12,0.759031683,0.235925248,-6.960505707,0.697915538,"[[0.285, 0.363, 0.459, 0.673], [14.745375660249046, 14.326175910169564, 13.213400075724156, 12.10889629360527]]",4.619100818,1.154392521,"[[0.285, 0.363, 0.459, 0.673], [10.469756779501918, 10.558358542464225, 11.602566714332712, 12.144048450729336]]",2.8350229,0.859309663,"[[0.285, 0.363, 0.459, 0.673], [6.79964533069412, 6.685501273897658, 7.480050470998352, 7.767563271690825]]",,,"[[0.285, 0.363], [-1.2025485459734877, -1.2023321946054397]]",0.255388434,0.01340508,"[[0.285, 0.363, 0.459, 0.673], [0.41281549797770917, 0.3982411809059629, 0.3963677264669765, 0.5032388271451729]]",-0.095944712,0.017253269,"[[0.285, 0.363, 0.459, 0.673], [0.8543429363697167, 0.874904231003554, 0.9064349020399826, 0.8229790183219948]]",3.432973629,0.017752264,"[[0.285, 0.363, 0.459, 0.673], [1.0023046718298807, 1.1975181143125857, 1.5495026363345283, 2.3112815768168002]]",5.120458567,3.786006798,"[[0.285, 0.363, 0.459, 0.673], [0.6445803065833973, 0.8880718255528601, 2.3624017008569522, 2.5244752002510373]]",-0.617963225,0.012026077,"[[0.285, 0.363, 0.459, 0.673], [1.1728672307603656, 1.186773676181053, 1.0860100423864354, 0.9541653220601443]]","[0.0, 0.383333333, 0.766666667, 1.266666667, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.238, 0.316, 0.412, 0.626, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,,,,,,,
47,47,YCA,analysis_Zur_Newruns_2023_June,Markus,,analysis_Zur_Newruns_2023_June,,DSM14610,R.intestinalis,yes,OK,,,,R.intestinalis14,0.80295549,0.055500728,-3.221324172,0.275669026,"[[0.193, 0.262, 0.34, 0.41, 0.522, 0.6], [14.326327165675256, 14.227536396515507, 14.210283345437496, 13.491920258005493, 13.366292553010968, 13.120126048241463]]",1.382393871,1.13122812,"[[0.193, 0.262, 0.34, 0.41, 0.522, 0.6], [10.422576521845775, 10.752692930979778, 11.111796382106073, 11.535316970582107, 10.79654391497075, 11.200203370879237]]",-2.572161943,1.886480115,"[[0.193, 0.262, 0.34, 0.41, 0.522, 0.6], [6.9569265771060405, 7.096585037331708, 7.065034116281935, 7.346087948024875, 5.817688460120496, 6.2940720192576105]]",,,"[[0.522, 0.6], [-1.2024500845699577, -1.2015232099648807]]",0.121450374,0.018073862,"[[0.193, 0.262, 0.34, 0.41, 0.522, 0.6], [0.594678689365536, 0.5625120965327237, 0.5913547442279197, 0.5081294427802852, 0.6203407114641931, 0.6361225412833831]]",-0.208743902,0.01681258,"[[0.193, 0.262, 0.34, 0.41, 0.522, 0.6], [0.5941747220525715, 0.6140247784622317, 0.577036381079443, 0.6540027805547808, 0.5245454988460498, 0.5222044496687465]]",1.537477701,0.266628835,"[[0.34, 0.41, 0.522, 0.6], [0.9927034371718989, 1.2314897516019485, 1.2138279607437519, 1.4740919828078987]]",-1.647966534,0.801213786,"[[0.262, 0.41, 0.6], [0.7236105921643343, 0.7525763371672434, 0.1883030575665234]]",0.142847169,0.02164693,"[[0.193, 0.262, 0.34, 0.41, 0.522, 0.6], [1.8481630587176407, 1.8215080023735806, 1.8114434919658435, 1.7553771504780464, 1.8677805343537672, 1.9018809947050648]]","[0.0, 1.083333333, 1.566666667, 1.783333333, 2.0, 2.166666667, 2.416666667, 2.616666667, 2.783333333, nan, nan, nan, nan]","[0.055, 0.133, 0.202, 0.233, 0.28, 0.315, 0.35, 0.462, 0.54, nan, nan, nan, nan]",,,,,,,,,,,,
48,48,YCA,analysis_Zur_Newruns_2023_June,Markus,,analysis_Zur_Newruns_2023_June,,DSM17677,F.prausnitzii,yes,OK,,checked,,F.prausnitzii14-2,0.376043535,0.047728723,-0.125310574,0.017032713,"[[0.131, 0.214, 0.274, 0.315, 0.36, 0.421, 0.51], [0.7600551616897598, 0.7591537338429051, 0.7346042969383367, 0.6551962880575619, 0.7287211234465796, 0.7636928262372268, 0.6938800011233364]]",-0.270490014,0.357518103,"[[0.131, 0.214, 0.274, 0.315, 0.36, 0.421, 0.51], [9.983825790823568, 9.946329810336708, 9.718786947352582, 9.872648923202123, 9.840879428634713, 10.195632828034388, 9.682557753841456]]",0.775130991,0.30444193,"[[0.131, 0.214, 0.274, 0.315, 0.36, 0.421, 0.51], [6.362820168469935, 6.382498234548753, 6.48421979256158, 6.370761013332637, 6.3669972406427044, 6.875719844320893, 6.5162199944710215]]",,,"[[], []]",0.100314732,0.018470053,"[[0.131, 0.214, 0.274, 0.315, 0.36, 0.421, 0.51], [0.2824119920075802, 0.28306174357375946, 0.29759728621333886, 0.4017679658962046, 0.3196033403353239, 0.3144912125194308, 0.31325151544511276]]",-0.631622008,0.023076529,"[[0.131, 0.214, 0.274, 0.315, 0.36, 0.421, 0.51], [0.8382550373241431, 0.7351555952240745, 0.664289574908723, 0.6064087255497047, 0.6071683428547046, 0.6081718733853616, 0.5948113159545414]]",4.30341886,0.024355087,"[[0.131, 0.214, 0.274, 0.315, 0.36, 0.421, 0.51], [0.5068514267850482, 0.7562001320208123, 1.0110308036768525, 1.2446536046503294, 1.403912939766436, 1.7445649349861072, 2.078283645932592]]",6.764377977,0.213521965,"[[0.131, 0.214, 0.274, 0.315, 0.36, 0.421, 0.51], [1.353596993541209, 1.731091636563641, 1.9769409757772423, 2.305897067184205, 2.8735408428567384, 3.250686965629888, 3.776059539885582]]",-2.958028963,0.338180623,"[[0.131, 0.214, 0.274, 0.315, 0.36, 0.421, 0.51], [10.392994430470678, 10.271477637553055, 9.989093341684322, 9.875965590315682, 9.628430445353962, 9.9154078386285, 9.158695227880006]]","[0.0, 1.083333333, 1.566666667, 1.783333333, 2.0, 2.416666667, 2.783333333, 3.4, 3.916666667, 4.383333333, 4.916666667, 5.333333333, 6.1]","[0.05, 0.071, 0.078, 0.09, 0.105, 0.107, 0.154, 0.176, 0.214, 0.255, 0.3, 0.361, 0.45]",,,,,,,,,,,,
49,49,YCA,analysis_Zur_Newruns_2023_June,Markus,,analysis_Zur_Newruns_2023_June,,DSM3979,C.aerofaciens,yes,OK,,checked,,C.aerofaciens14-1,0.50664432,0.020509092,-6.881469289,0.288409671,"[[0.24, 0.342, 0.49, 0.572, 0.655], [13.605070194405286, 12.521680108129065, 11.639936082741507, 11.073109160431574, 10.699066441843833]]",3.757091456,0.237240821,"[[0.24, 0.342, 0.49, 0.572, 0.655], [10.1249937002679, 10.227958372408944, 10.737809691062624, 11.26558910607717, 11.626926833134744]]",1.845295396,0.161660048,"[[0.24, 0.342, 0.49, 0.572, 0.655], [5.583083840272613, 5.542513568415945, 5.774959052300639, 6.097600318955614, 6.308897219386131]]",,,"[[], []]",0.34511885,0.001916875,"[[0.24, 0.342, 0.49, 0.572, 0.655], [0.29191276228348373, 0.3340299034203763, 0.3842933960742741, 0.3871102633943052, 0.44950694666012303]]",2.560209274,0.043978487,"[[0.24, 0.342, 0.49, 0.572, 0.655], [1.3166818152181619, 1.4268444684095942, 1.8390243801167963, 2.0972702472937543, 2.346158120871067]]",0.742089726,0.02196805,"[[0.24, 0.342, 0.49, 0.572, 0.655], [0.5066300898620096, 0.7009949977716503, 0.7346372688829396, 0.8051570270985903, 0.8496634643929938]]",4.915860531,0.16163629,"[[0.24, 0.342, 0.49, 0.572, 0.655], [0.8502796501201941, 1.1373267316955635, 2.00172131526428, 2.2485099914370164, 2.9073938808519135]]",-0.058761824,0.007514812,"[[0.24, 0.342, 0.49, 0.572, 0.655], [1.7793022995901748, 1.7037206708062735, 1.7324236042929384, 1.7308547576746884, 1.7345346888722717]]","[0.0, 1.0, 1.9, 4.2, 5.033333333, 5.283333333, 6.116666667, 6.416666667, 6.666666667, nan, nan, nan, nan]","[0.025, 0.029, 0.046, 0.18, 0.282, 0.33, 0.43, 0.512, 0.595, nan, nan, nan, nan]",,,,,,,,,,,,
50,50,YCA,analysis_Zur_Newruns_2023_June,Markus,,analysis_Zur_Newruns_2023_June,,DSM3979,C.aerofaciens,yes,OK,,checked,,C.aerofaciens14-2,0.631380088,0.067112443,-5.665861634,0.107873131,"[[0.213, 0.337, 0.405, 0.508, 0.55], [14.410426578591206, 13.724826008731256, 13.364214091396505, 12.867437973973534, 12.41606127291385]]",3.46835164,0.301237813,"[[0.213, 0.337, 0.405, 0.508, 0.55], [9.696161794606605, 9.848997786525683, 10.112263070228689, 10.701430961411155, 10.758474874283548]]",1.160620774,0.523607416,"[[0.213, 0.337, 0.405, 0.508, 0.55], [5.848544497570833, 5.698353374349521, 5.8228679149492, 6.289816559053637, 6.042116391622918]]",,,"[[0.55], [-1.2022206242670805]]",-0.029797492,0.040242631,"[[0.213, 0.337, 0.405, 0.508, 0.55], [0.6048223281511447, 0.5055623724517218, 0.5121978765247683, 0.600912851744644, 0.5501745014833268]]",2.181757278,0.059826335,"[[0.213, 0.337, 0.405, 0.508, 0.55], [0.6209564205352378, 0.8403570735618673, 0.9725445349809229, 1.1679174105779273, 1.4036620113508953]]",0.806351151,0.027257385,"[[0.213, 0.337, 0.405, 0.508, 0.55], [0.5038665433397118, 0.637458819831913, 0.7402170266626487, 0.785113356214111, 0.7582205734538827]]",4.287169212,0.01646104,"[[0.337, 0.405, 0.508, 0.55], [0.589067094565447, 0.8575359532125567, 1.2925908084236528, 1.5090154335393196]]",0.097126839,0.04326306,"[[0.213, 0.337, 0.405, 0.508, 0.55], [1.777604747561649, 1.7656762226661897, 1.8633314836384254, 1.8566896781995732, 1.7625131895834723]]","[0.0, 1.083333333, 1.566666667, 1.783333333, 2.0, 2.166666667, 2.416666667, 2.616666667, 2.783333333, 3.05, 3.133333333, 3.416666667, nan]","[0.049, 0.153, 0.209, 0.237, 0.277, 0.286, 0.307, 0.345, 0.39, 0.426, 0.448, 0.49, nan]",,,,,,,,,,,,
51,51,YCA,analysis_Zur_Newruns_2023_June,Markus,,analysis_Zur_Newruns_2023_June,,DSM20083,B.adolescentis,yes,OK,,"checked, makes pro",,B.adolescentis09,0.648495129,0.092415806,-8.880348863,0.29510201,"[[0.182, 0.348, 0.49, 0.57], [14.775526376681892, 13.536961391059489, 12.22074694002071, 11.300831125479807]]",10.55816971,0.95552711,"[[0.182, 0.348, 0.49, 0.57], [10.067381040695922, 11.412995464751164, 12.984083280595431, 14.226900056905329]]",1.171955816,0.275082661,"[[0.182, 0.348, 0.49, 0.57], [5.322098104310413, 5.78176303559817, 5.677089893746771, 5.856096577260901]]",,,"[[0.182], [-1.201427767190221]]",0.196952591,0.050102661,"[[0.182, 0.348, 0.49, 0.57], [0.5762233048626888, 0.6433119045852497, 0.5646300916742696, 0.7012558540213081]]",2.920086017,0.069053647,"[[0.182, 0.348, 0.49, 0.57], [1.0739134230430218, 1.4163847424394467, 1.9428642330591925, 2.1824040972669545]]",,,"[[], []]",-0.649973648,0.16272068,"[[0.182, 0.348, 0.49, 0.57], [1.374966594487994, 1.2341236454816125, 1.0167486643425614, 1.198060974320593]]",-1.890383244,0.877827813,"[[0.182, 0.348, 0.49, 0.57], [1.4985949085210994, 0.7047478800953502, 0.6836413917308396, 0.752164081658247]]","[0.0, 0.516666667, 1.066666667, 1.716666667, 2.333333333, 2.766666667, nan, nan, nan, nan, nan, nan, nan]","[0.089, 0.129, 0.189, 0.295, 0.437, 0.517, nan, nan, nan, nan, nan, nan, nan]",,,,,,,,,,,,
52,52,YCA,analysis_Zur_Newruns_2023_June,Markus,,analysis_Zur_Newruns_2023_June,,DSM3979,C.aerofaciens,yes,OK,,checked,,C.aerofaciens09,0.562099169,0.031205722,-6.748448226,0.865917512,"[[0.19, 0.217, 0.31, 0.436], [14.828061890013352, 14.319517599331647, 13.756823114893422, 13.049057264628306]]",4.768843508,0.028291413,"[[0.19, 0.217, 0.31, 0.436], [9.02754417552801, 9.15160487379232, 9.547823909961915, 10.206066205737352]]",1.187402913,0.01310476,"[[0.19, 0.217, 0.31, 0.436], [5.656170072185975, 5.67418065853779, 5.824387254851329, 5.937708656165147]]",,,"[[0.436], [-1.2029213133098897]]",0.478190394,0.035567926,"[[0.19, 0.217, 0.31, 0.436], [0.4521911151118269, 0.4877058256657082, 0.4667966309026379, 0.5870233213403396]]",2.199927242,0.105501053,"[[0.19, 0.217, 0.31, 0.436], [0.9371275926189581, 1.0592746492340437, 1.3133188865549434, 1.492052619364197]]",,,"[[], []]",6.546169174,3.604714904,"[[0.19, 0.217, 0.31, 0.436], [0.969003683647786, 1.2409670789047704, 1.2394535320973301, 2.701103542782315]]",1.82478861,5.519873158,"[[0.19, 0.217, 0.31, 0.436], [0.6318981524945111, 1.3483932093174231, 0.6902278413274745, 1.426203008328959]]","[0.0, 1.116666667, 1.716666667, 2.316666667, 2.816666667, 3.333333333, 3.75, 4.7, nan, nan, nan, nan, nan]","[0.025, 0.063, 0.091, 0.137, 0.164, 0.188, 0.257, 0.383, nan, nan, nan, nan, nan]",,,,,,,,,,,,
53,53,YCA,analysis_Zur_Newruns_2023_June,Markus,,analysis_Zur_Newruns_2023_June,,ATCC29148,B.theta,yes,OK,,check chromatogram,,B.theta09,0.810351928,0.185404268,-4.353179019,0.029619907,"[[0.239, 0.315, 0.5], [15.033483069319391, 14.658324900014264, 13.886472615722994]]",3.965282864,0.586422673,"[[0.239, 0.315, 0.5], [9.29401866700414, 9.79256776767959, 10.377149083614722]]",1.553254354,0.798693248,"[[0.239, 0.315, 0.5], [5.960941805312047, 5.848863904997121, 6.310099823525944]]",,,"[[0.315, 0.5], [-1.201397965102558, -1.2017852073783417]]",1.792519986,0.003040937,"[[0.239, 0.315, 0.5], [0.6507705526757844, 0.7728024110157672, 1.1151479483067137]]",0.428741664,0.0037401,"[[0.239, 0.315, 0.5], [0.7961329598579273, 0.8444649799336975, 0.9118831760438251]]",,,"[[], []]",0.08040812,0.243002086,"[[0.239, 0.315, 0.5], [1.300743560841451, 1.433788947931462, 1.3527521571005683]]",0.385168969,0.015129322,"[[0.239, 0.315, 0.5], [0.6162133281922019, 0.6771587876609166, 0.7244830465466882]]","[0.0, 0.433333333, 1.083333333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.186, 0.262, 0.447, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,,,,,,,
