Btheta growth curve,,
time,OD,OD2
0,0.084,0.025
0.5,0.087,0.028
1.25,0.14,0.081
1.5,0.16,0.101
2.166666667,0.23,0.171
2.583333333,0.31,0.251
3.083333333,0.4,0.341
3.55,0.56,0.501
3.916666667,0.7,0.641
