,species,glucose,acetate,propionate,succinate,lactate,butyrate,formate,maltose,medium
152,B.adolescentis,-8.238884884817102,12.114112796771707,2.233406279454973,0.5445836187419716,3.2219198391831854,0.0,0.9989644002064941,0.0,YCA
153,B.adolescentis,-6.218039348922209,9.175176517298787,3.1115199045998354,0.0,4.7057060434582745,0.0,0.9189168004191084,-0.1556302895045962,BHI
154,B.finegoldii,-4.65472122123568,3.6669192180173216,0.9997814800375487,2.0248290320963473,0.11071900449912099,0.014567491486104233,1.8131011201646452,0.0,YCA
155,B.finegoldii,-3.0595268586940825,3.6297815470959627,0.4059933373514424,0.0,1.8069781294339975,0.0,1.7776570995467615,-0.0396986568277641,BHI
156,B.fragilis,-4.832237304071378,3.496001227592379,0.3805472662905777,2.6580945690866202,0.49920447065503554,0.0,2.1870050369154233,0.0,YCA
157,B.fragilis,-2.2285593613839527,9.032054348516063,0.5956560480692603,2.358689466941911,0.7451369686147447,0.0,6.118861303851588,0.0,BHI
158,B.fragilis,-6.325689415347833,4.000769529309441,1.82770222015888,0.2749326885278822,0.554894519839179,0.0,4.360064577155403,-0.0324430104768542,gamma
159,B.fragilis,-3.5752578107199717,4.4451072546483585,0.14262258994499394,4.56039404411196,0.15701448899211054,0.0,0.49764538720183765,0.0,epsilon
160,B.longum,-9.24303067346174,13.612177120612989,1.5788797870075035,0.45460067625328454,3.149714844368583,0.0,1.157539610826541,0.0,YCA
161,B.longum,-5.201704212963238,3.6365489105641835,8.065048569468182,0.7266063720352018,8.375949051127181,0.0,2.8172926473725544,0.0,BHI
162,B.longum,-9.398425643906002,12.053038374297705,0.0,0.0,7.928975386975238,0.0,0.0,0.0,epsilon
163,B.ovatus,-4.210850919061987,8.802434427026597,0.30602734217952426,1.5238603035777718,0.30752637918639975,0.014637564352644168,10.289419426169903,0.0,YCA
164,B.ovatus,-3.3268169828639587,14.698965694116874,0.0,2.5678606972293,0.833952112729902,0.0,10.836859785010402,-0.0144332775929724,BHI
165,B.ovatus,-4.961198582232441,3.1951568733250766,0.3484078188338294,0.8733077640536802,3.4857705968607027,0.0,0.0,-0.0208734856750881,epsilon
166,B.theta,-6.248499705527198,4.504512516154709,1.5185133842416334,2.332290134631029,0.7286220974263508,0.0,0.9254189055905626,0.0,YCA
167,B.theta,-1.4153334376713644,12.014245600564346,0.0,2.1039653274037557,0.0696868827237295,0.0,6.579272651823742,-0.03433919234516433,BHI
168,B.theta,-5.169697875189926,9.682131672049826,0.5173794317600043,1.287983466443954,0.6324869405414645,0.0,9.508430597542548,-0.0989698654965593,gamma
169,B.theta,-5.589580979106504,5.040055239349032,0.7776303230591032,2.603493372937111,0.2714158836783258,0.0,3.2216218559931957,-0.13528945540424617,epsilon
170,B.uniformis,-6.650701013826024,3.6100488070934507,0.2924390642298711,3.2808698541945857e-16,10.845330330211242,0.009400601529426534,4.76527051645829,0.0,YCA
171,B.vulgatus,-5.365079701043978,4.8856026939957715,0.6270388667476204,3.5386853483797234,0.08776089993214453,0.0,2.497726094419842,0.0,YCA
172,B.vulgatus,-3.4018077261631725,6.52530939192973,1.2118752871094702,0.6293478443262619,3.612261773184507,0.0,3.1481254326221486,-0.07470253356305068,BHI
173,B.vulgatus,-5.72996835479004,3.0922861008202878,2.2111907111956572,0.38635625698461884,0.5278223686590191,0.0,0.0,,gamma
174,C.aerofaciens,-6.349981239104656,4.440343854664931,1.7562951338067285,0.27221134897582083,2.050442528873127,0.38711021909400933,5.122145254157272,0.0,YCA
175,C.aerofaciens,-4.617484166925188,5.232108674388742,0.0,0.1926841715434674,7.819222474836983,0.0,8.642887338815402,-0.572624473281963,BHI
176,C.aerofaciens,-5.141249311855078,3.1922444032807076,0.0,0.3372431675138528,9.47863068796254,0.0,2.919512394033906,0.0,epsilon
177,E.coli,-3.814796975790592,9.18097801709768,0.0452350736159951,1.6264217653820172,0.4046979155751946,0.05598044872889327,10.117314505149801,0.0,YCA
178,E.coli,-2.3342909044129403,12.555367383134211,0.0,0.5478170687355466,0.032250793924214136,0.0,6.523725306240578,-0.03613998040764944,BHI
179,E.coli,-12.304877332217254,12.199286785507418,0.0,1.6565918911546842,0.2529058535905996,0.0,22.873608009635067,0.0,gamma
180,E.coli,-5.453066847414738,7.772282465903128,0.0,1.5943270417082909,0.5741464536241742,0.0,10.616014737893206,-0.0200457502132927,epsilon
181,E.rectale,-6.572608888213082,2.868648357841039,0.7296346938403432,0.0571649471474222,0.0698660423289509,3.8870954457949245,1.0147069608482628,0.0,YCA
182,E.rectale,-3.12628933350678,5.253915305476208,1.122408313922661,0.29145118903640105,3.4757237243191024,1.5857400872193512,3.350638617737832,-0.6704099622745666,BHI
183,E.rectale,-9.867099537204913,2.7085320256059178,0.0,0.0,3.719019114448775,4.624067365379292,0.0,,epsilon
184,F.prausnitzii,0.0,0.0500043707878983,0.6957804497445892,0.05799652393919274,0.0,4.366986860140474,6.256170414836638,-2.670848830728673,YCA
185,F.prausnitzii,-3.609842563006535,6.4807086930393485,0.29191802150646895,0.0369477589339047,6.738471038158085,0.9989287492647976,3.3617139494189052,-0.15101287482042414,BHI
186,F.prausnitzii,-4.346080356106358,0.5854891231331695,0.0935281142203703,0.5787948597694204,0.0,8.479322499248537,0.0,0.0,epsilon
187,P.copri,-8.366688070790056,4.894399962272153,0.15613083058526103,2.300822439265244e-16,12.054597977412273,0.03777190381579296,5.919669812758575,0.0,YCA
188,P.distastonis,-5.080897561852398,2.7904862397916976,1.1744511614568387,2.2049802946356785,0.18870224651917147,0.03373552744723063,1.5135969781121619,0.0,YCA
