,Unnamed: 0.1,Unnamed: 0,notes,strain,species,experiment,experiment_short,exp_number,medium,experimentator,sample_number,growth_rate,use_in_study,growthcurve_OD,growthcurve_time,exp_number_usedonly,pH,num_av,date_of_experiment,glucose,glucose_y0,glucose_OD,glucose_conc,acetate,acetate_y0,acetate_OD,acetate_conc,propionate,propionate_y0,propionate_OD,propionate_conc,succinate,succinate_y0,succinate_OD,succinate_conc,lactate,lactate_y0,lactate_OD,lactate_conc,butyrate,formate,formate_y0,formate_OD,formate_conc,maltose,maltose_y0,maltose_OD,maltose_conc,butyrate_y0,butyrate_OD,butyrate_conc,glucose_std,acetate_std,propionate_std,succinate_std,lactate_std,butyrate_std,formate_std,maltose_std,total_ferm,total_ferm_std,total_uptake,total_uptake_std,growth_rate_std
0,40.0,54.0,5.83,ATCC29148,B.theta,Markus_old_Bt6,Markus_old_Bt6,67,epsilon,Markus,,0.657623091,yes,"[0.019,0.028,0.043,0.064,0.086,0.12,0.157,0.208,0.269]","[0.,0.63333333,1.26666667,1.81666667,2.28333333,2.76666667,
3.25,3.63333333,4.06666667]",41.0,5.83,1.0,2015.0,-6.18587441062752,19.437366225335037,[0.086 0.157 0.208 0.269],[19.02580578 18.36284734 17.97916287 17.92781934],4.741266363641708,0.0021572872476581,[0.086 0.157 0.208 0.269],[0.41058417 0.75792532 0.96539543 1.28843601],1.5247580878716656,-0.0513278920369737,[0.086 0.157 0.208 0.269],[0.05034968 0.230417   0.27640482 0.33534275],3.340604151490081,-0.0243719400789844,[0.086 0.157 0.208 0.269],[0.27354686 0.49574557 0.64659355 0.89186125],0.0,,,,0.0,0.7932252851135089,0.0754862736339939,[0.086 0.157 0.208 0.269],[0.19122285 0.13561404 0.21617796 0.33005246],,,,,,,,,,,,,,,,,,,,
1,41.0,53.0,5.95,ATCC29148,B.theta,Markus_old_Bt5,Markus_old_Bt5,66,epsilon,Markus,,0.833812552,yes,"[0.019,0.032,0.053,0.085,0.127,0.198,0.285,0.385]","[0.,0.63333333,1.28333333,1.83333333,2.28333333,2.78333333,
3.25,3.65]",42.0,5.95,1.0,2015.0,-8.846866880117384,19.9648369629343,[0.127 0.198 0.285 0.385],[18.7304311  18.21546637 17.72516471 16.38565313],4.735056530444136,-0.0418703074905649,[0.127 0.198 0.285 0.385],[0.53220997 0.93320923 1.30778561 1.77069521],1.28729510763787,-0.0355661724734751,[0.127 0.198 0.285 0.385],[0.16872628 0.1895921  0.28162144 0.49865412],3.10473614718912,-0.0293764689518817,[0.127 0.198 0.285 0.385],[0.36460364 0.58255097 0.8615578  1.16299418],0.0,,,,0.0,0.863651762910797,-0.0055458535512239,[0.127 0.198 0.285 0.385],[0.08827393 0.22590465 0.16848724 0.35448427],,,,,,,,,,,,,,,,,,,,
2,42.0,66.0,6.61,ATCC29148,B.theta,Markus_old_Bt8,Markus_old_Bt8,79,epsilon,Markus,,1.034359136,no,"[0.042,0.063,0.101,0.151,0.231,0.373,0.482]","[0.,0.36666667,0.76666667,1.18333333,1.58333333,2.06666667,
2.36666667]",,6.61,1.0,2015.0,-5.622357202474766,22.06376693032975,[0.101 0.231 0.373 0.482],[21.39406666 20.91278096 19.98231081 19.29217129],4.640222509150609,0.3510042484218986,[0.101 0.231 0.373 0.482],[0.8783707  1.35950491 2.02258579 2.65149972],0.8924938233760802,-0.2023121245524417,[0.101 0.231 0.373 0.482],[-0.10086946 -0.00910656  0.120932    0.23918569],2.767166481384227,-0.1596939866334329,[0.101 0.231 0.373 0.482],[0.14304779 0.45874736 0.83900055 1.20505496],0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
3,43.0,65.0,7.14,ATCC29148,B.theta,Markus_old_Bt7,Markus_old_Bt7,78,epsilon,Markus,,1.04300345,no,"[0.04,0.062,0.102,0.145,0.23,0.365,0.482]","[0.,0.36666667,0.78333333,1.18333333,1.58333333,2.08333333,
2.36666667]",,7.14,1.0,2015.0,-6.9215006506086985,22.282197426607578,[0.102 0.23  0.365 0.482],[21.56905266 20.69479349 19.76929636 18.93519793],4.907247316172945,0.2530517550963996,[0.102 0.23  0.365 0.482],[0.7893246  1.33769567 2.02295781 2.64787352],0.0,,,,2.5525496529028273,-0.122587059735192,[0.102 0.23  0.365 0.482],[0.14705485 0.45463383 0.80019624 1.11722289],0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
4,44.0,52.0,5.63,ATCC29148,B.theta,Markus_old_Bt4,Markus_old_Bt4,65,epsilon,Markus,,0.403379475,yes,"[0.043,0.054,0.072,0.089,0.115,0.138,0.167,0.205,0.24,0.281]","[0.,0.61666667,1.28333333,1.9,2.48333333,2.9,
3.4,3.86666667,4.26666667,4.71666667]",43.0,5.63,1.0,2015.0,-8.880491057380997,19.910526518554967,[0.089 0.167 0.24  0.281],[19.1416481  18.43334777 17.66229191 17.50467674],4.773560793199094,-0.0031535058357342,[0.089 0.167 0.24  0.281],[0.40629614 0.83536248 1.09968409 1.3551    ],0.7927254983789901,0.2006342708016725,[0.089 0.167 0.24  0.281],[0.29398791 0.30294497 0.3677343  0.45381761],3.4384884082376925,0.0393616608524694,[0.089 0.167 0.24  0.281],[0.34120361 0.62348644 0.85667091 1.00779118],0.0,,,,0.0,6.466776934230567,-1.5740668682244612,[0.089 0.24  0.281],[-1.0338654   0.14346207  0.11293665],,,,,,,,,,,,,,,,,,,,
5,45.0,67.0,6.21,ATCC29148,B.theta,Markus_old_Bt9,Markus_old_Bt9,80,epsilon,Markus,,0.961136723,no,"[0.032,0.044,0.067,0.102,0.149,0.244,0.312,0.415]","[0.,0.36666667,0.78333333,1.18333333,1.58333333,2.08333333,
2.36666667,2.71666667]",,6.21,1.0,2015.0,-5.310791797315374,21.30984890448017,[0.102 0.244 0.312 0.415],[20.83988228 19.84064555 19.72272179 19.1376664 ],4.374721706461835,0.4253601045302896,[0.102 0.244 0.312 0.415],[0.93967019 1.39831101 1.74022077 2.31731484],0.8659116901747395,-0.1843570347985063,[0.102 0.244 0.312 0.415],[-0.09104196  0.02122244  0.08010536  0.18140927],3.170460498537639,-0.2241300682649314,[0.102 0.244 0.312 0.415],[0.13714226 0.49522421 0.73997199 1.13304537],0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
6,46.0,68.0,6.12,ATCC29148,B.theta,Markus_old_Bt10,Markus_old_Bt10,81,epsilon,Markus,,0.916207089,no,"[0.038,0.055,0.081,0.12,0.191,0.248,0.336,0.435]","[0.,0.41666667,0.83333333,1.23333333,1.71666667,2.01666667,
2.35,2.71666667]",,6.12,1.0,2015.0,-4.559782181366872,21.431728936000138,[0.12  0.191 0.336 0.435],[20.62858283 20.83479899 20.0388146  19.291035  ],4.763354136674829,0.3525161092804204,[0.12  0.191 0.336 0.435],[1.00743679 1.19506857 1.85364276 2.50786549],1.0295595852821469,-0.2352704224646939,[0.12  0.191 0.336 0.435],[-0.11230581 -0.0327213   0.09796573  0.21996316],3.187394264128334,-0.0993518319161423,[0.12  0.191 0.336 0.435],[0.29701011 0.51487207 0.91407914 1.32539196],0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
7,48.0,73.0,5.98,ATCC29148,B.theta,Markus_old_Bt11,Markus_old_Bt11,86,epsilon,Markus,,0.742884286,no,"[0.028,0.041,0.073,0.13,0.204,0.294,0.419]","[0.,0.58333333,1.23333333,2.15,2.7,3.16666667,
3.65]",,5.98,1.0,2015.0,-3.9578877065497857,20.937423228597495,[0.13  0.204 0.294 0.419],[20.05665609 20.57830817 19.84948939 19.12133083],5.254635480292224,0.3880177738345519,[0.13  0.204 0.294 0.419],[1.10376611 1.43730209 1.89638117 2.61622508],0.0,,,,3.8520635337386864,-0.2816510353825748,[0.13  0.204 0.294 0.419],[0.22859151 0.50304477 0.83088636 1.34398374],0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
8,50.0,51.0,6.19,ATCC29148,B.theta,Markus_old_Bt3,Markus_old_Bt3,64,epsilon,Markus,,0.977575301,yes,"[0.035,0.056,0.087,0.126,0.177,0.241,0.306,0.395]","[0.,0.45,0.86666667,1.28333333,1.58333333,1.91666667,
2.2,2.48333333]",46.0,6.19,1.0,2015.0,-5.558616961600451,19.13314790284015,[0.087 0.177 0.306 0.395],[18.63257135 18.23418595 17.28297279 17.01879615],4.686281835040207,-0.1312811095127457,[0.087 0.177 0.306 0.395],[0.30455317 0.66947488 1.27571792 1.74739156],1.0751779314445291,0.0240660023224722,[0.087 0.177 0.306 0.395],[0.11722331 0.2162851  0.34971168 0.45059062],2.859016714947259,-0.0396908630882118,[0.087 0.177 0.306 0.395],[0.23174013 0.44817015 0.80116584 1.11911156],0.0,,,,0.0,1.557065770359184,-0.17039912919434,[0.087 0.177 0.306 0.395],[-0.02854289  0.09942207  0.29810042  0.45199235],,,,,,,,,,,,,,,,,,,,
9,51.0,74.0,5.85,ATCC29148,B.theta,Markus_old_Bt12,Markus_old_Bt12,87,epsilon,Markus,,0.567487577,no,"[0.027,0.041,0.065,0.091,0.117,0.157,0.22,0.262,0.302,0.449]","[0.,0.81666667,1.55,2.11666667,2.58333333,3.06666667,
3.63333333,3.96666667,4.25,5.06666667]",,5.85,1.0,2015.0,-7.133812839713177,21.681436400799967,[0.091 0.22  0.302 0.449],[21.06815738 20.1680553  19.35227198 18.56115171],5.471755978684859,0.4327816187510435,[0.091 0.22  0.302 0.449],[1.00361136 1.55920075 2.02823767 2.95108155],1.229825218596201,-0.235837005829378,[0.091 0.22  0.302 0.449],[-0.11265103  0.0268083   0.12045108  0.32811802],3.9413491635770934,-0.0590999307548118,[0.091 0.22  0.302 0.449],[0.34226343 0.77152205 1.08401695 1.75151066],0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
