,sample
297,SAMEA7045135
298,SAMEA7045136
299,SAMEA7045137
300,SAMEA7045138
301,SAMEA7045139
302,SAMEA7045140
303,SAMEA7045141
304,SAMEA7045142
305,SAMEA7045143
306,SAMEA7045144
307,SAMEA7045145
308,SAMEA7045146
309,SAMEA7045147
310,SAMEA7045148
311,SAMEA7045149
312,SAMEA7045150
313,SAMEA7045151
314,SAMEA7045152
315,SAMEA7045153
316,SAMEA7045154
317,SAMEA7045155
318,SAMEA7045156
319,SAMEA7045157
320,SAMEA7045158
321,SAMEA7045159
322,SAMEA7045160
323,SAMEA7045161
324,SAMEA7045162
325,SAMEA7045163
326,SAMEA7045164
327,SAMEA7045165
328,SAMEA7045166
329,SAMEA7045167
330,SAMEA7045169
331,SAMEA7045170
332,SAMEA7045171
333,SAMEA7045172
334,SAMEA7045173
335,SAMEA7045174
336,SAMEA7045175
337,SAMEA7045176
338,SAMEA7045177
339,SAMEA7045178
340,SAMEA7045179
341,SAMEA7045180
342,SAMEA7045181
343,SAMEA7045182
344,SAMEA7045183
345,SAMEA7045184
346,SAMEA7045185
347,SAMEA7045186
348,SAMEA7045187
349,SAMEA7045188
350,SAMEA7045189
351,SAMEA7045190
352,SAMEA7045191
353,SAMEA7045192
354,SAMEA7045193
355,SAMEA7045194
356,SAMEA7045195
357,SAMEA7045196
358,SAMEA7045197
359,SAMEA7045198
360,SAMEA7045199
361,SAMEA7045200
362,SAMEA7045201
363,SAMEA7045202
364,SAMEA7045203
365,SAMEA7045204
366,SAMEA7045205
367,SAMEA7045206
368,SAMEA7045207
369,SAMEA7045208
370,SAMEA7045209
371,SAMEA7045210
372,SAMEA7045211
373,SAMEA7045212
374,SAMEA7045213
375,SAMEA7045214
376,SAMEA7045215
377,SAMEA7045216
378,SAMEA7045217
379,SAMEA7045218
380,SAMEA7045219
381,SAMEA7045220
382,SAMEA7045221
383,SAMEA7045222
384,SAMEA7045223
385,SAMEA7045224
386,SAMEA7045225
387,SAMEA7045226
388,SAMEA7045227
389,SAMEA7045228
390,SAMEA7045229
391,SAMEA7045230
392,SAMEA7045231
393,SAMEA7045232
394,SAMEA7045233
395,SAMEA7045234
396,SAMEA7045235
397,SAMEA7045236
398,SAMEA7045237
399,SAMEA7045238
400,SAMEA7045239
401,SAMEA7045240
402,SAMEA7045241
403,SAMEA7045242
404,SAMEA7045243
405,SAMEA7045244
406,SAMEA7045245
407,SAMEA7045246
408,SAMEA7045247
409,SAMEA7045248
410,SAMEA7045249
411,SAMEA7045250
412,SAMEA7045251
413,SAMEA7045252
414,SAMEA7045253
415,SAMEA7045254
416,SAMEA7045255
417,SAMEA7045256
418,SAMEA7045257
419,SAMEA7045258
420,SAMEA7045259
421,SAMEA7045260
422,SAMEA7045261
423,SAMEA7045262
424,SAMEA7045263
425,SAMEA7045264
426,SAMEA7045265
427,SAMEA7045266
428,SAMEA7045267
429,SAMEA7045268
430,SAMEA7045269
431,SAMEA7045270
432,SAMEA7045271
433,SAMEA7045272
434,SAMEA7045273
435,SAMEA7045274
436,SAMEA7045275
437,SAMEA7045276
438,SAMEA7045277
439,SAMEA7045278
440,SAMEA7045279
441,SAMEA7045280
442,SAMEA7045281
443,SAMEA7045282
444,SAMEA7045283
445,SAMEA7045284
446,SAMEA7045285
447,SAMEA7045286
448,SAMEA7045287
449,SAMEA7045288
450,SAMEA7045289
451,SAMEA7045290
452,SAMEA7045291
453,SAMEA7045292
454,SAMEA7045293
455,SAMEA7045294
456,SAMEA7045295
457,SAMEA7045296
458,SAMEA7045297
459,SAMEA7045298
460,SAMEA7045299
461,SAMEA7045300
462,SAMEA7045301
463,SAMEA7045302
464,SAMEA7045303
465,SAMEA7045304
466,SAMEA7045305
467,SAMEA7045306
468,SAMEA7045307
