,sample
5697,HMP2_J00893_M_ST_T0_B0_0120_ZJTKAE3-04_HA986ADXX
5698,HMP2_J00894_M_ST_T0_B0_0120_ZN9YTFN-1015X_HA986ADXX
5699,HMP2_J00895_M_ST_T0_B0_0120_ZL9BTWF-05X_HA986ADXX
5700,HMP2_J00896_M_ST_T0_B0_0120_ZLZQMEV-01X_HA986ADXX
5701,HMP2_J05379_M_ST_T0_B0_0120_ZOZOW1T-44_H15WVBG
5702,HMP2_J05379_M_ST_T0_B0_0120_ZOZOW1T-44_HB5LAADX
5703,HMP2_J05381_M_ST_T0_B0_0120_ZOZOW1T-48b_H15WVBG
5704,HMP2_J05381_M_ST_T0_B0_0120_ZOZOW1T-48b_HB5LAADX
5705,HMP2_J05383_M_ST_T0_B0_0120_ZOZOW1T-49_HB5LAADX
5706,HMP2_J05387_M_ST_T0_B0_0120_ZOZOW1T-54b_H15WVBG
5707,HMP2_J05387_M_ST_T0_B0_0120_ZOZOW1T-54b_HB5LAADX
5708,HMP2_J05389_M_ST_T0_B0_0120_ZOZOW1T-54_HB5LAADX
5709,HMP2_J05391_M_ST_T0_B0_0120_ZOZOW1T-55_H15WVBG
5710,HMP2_J05391_M_ST_T0_B0_0120_ZOZOW1T-55_HB5LAADX
5711,HMP2_J05393_M_ST_T0_B0_0120_ZOZOW1T-56_HB5LAADX
5712,HMP2_J05403_M_ST_T0_B0_0120_ZN9YTFN-03_HBB8WADXX
5713,HMP2_J05404_M_ST_T0_B0_0120_ZN9YTFN-03_C8GAAANXX
5714,HMP2_J05409_M_ST_T0_B0_0120_ZMBH10Z-04_C8GAAANXX
5715,HMP2_J05418_M_ST_T0_B0_0120_ZLZNCLZ-03_C934HANXX
5716,HMP2_J05418_M_ST_T0_B0_0120_ZLZNCLZ-03_HBB8WADXX
5717,HMP2_J05420_M_ST_T0_B0_0120_ZLZNCLZ-1011_C8GAAANXX
5718,HMP2_J05420_M_ST_T0_B0_0120_ZLZNCLZ-1011_HBB8WADXX
5719,HMP2_J05422_M_ST_T0_B0_0120_ZLZNCLZ-1012_C8GAAANXX
5720,HMP2_J05422_M_ST_T0_B0_0120_ZLZNCLZ-1012_HBB8WADXX
5721,HMP2_J05437_M_ST_T0_B0_0120_ZL9BTWF-07_H15WVBG
5722,HMP2_J05437_M_ST_T0_B0_0120_ZL9BTWF-07_HB5LAADX
5723,HMP2_J05446_M_ST_T0_B0_0120_ZKFV71L-05_HBB8WADXX
5724,HMP2_J05447_M_ST_T0_B0_0120_ZK4CK8Y-01_C8GAAANXX
5725,HMP2_J05447_M_ST_T0_B0_0120_ZK4CK8Y-01_HBB8WADXX
5726,HMP2_J08149_M_ST_T0_B0_0120_ZOZOW1T-83_HCG2MBGXX_S2
5727,HMP2_J08150_M_ST_T0_B0_0120_ZOZOW1T-6011_HCG2MBGXX_S3
5728,HMP2_J08151_M_ST_T0_B0_0120_ZOZOW1T-6011.1_HCG2MBGXX_S4
5729,HMP2_J08152_M_ST_T0_B0_0120_ZOZOW1T-6011.2_HCG2MBGXX_S5
5730,HMP2_J08153_M_ST_T0_B0_0120_ZOZOW1T-6012_HCG2MBGXX_S6
5731,HMP2_J08154_M_ST_T0_B0_0120_ZOZOW1T-6012.1_HCG2MBGXX_S7
5732,HMP2_J08155_M_ST_T0_B0_0120_ZOZOW1T-6012.2_HCG2MBGXX_S8
5733,HMP2_J08156_M_ST_T0_B0_0120_ZOZOW1T-6013_HCG2MBGXX_S9
5734,HMP2_J08157_M_ST_T0_B0_0120_ZOZOW1T-6013A_HCG2MBGXX_S10
5735,HMP2_J08158_M_ST_T0_B0_0120_ZOZOW1T-6014_HCG2MBGXX_S11
5736,HMP2_J08159_M_ST_T0_B0_0120_ZOZOW1T-6015_HCG2MBGXX_S12
5737,HMP2_J08160_M_ST_T0_B0_0120_ZOZOW1T-6015.1_HCG2MBGXX_S13
5738,HMP2_J08161_M_ST_T0_B0_0120_ZOZOW1T-6015.2A_HCG2MBGXX_S14
5739,HMP2_J08162_M_ST_T0_B0_0120_ZOZOW1T-6015.2B_HCG2MBGXX_S15
5740,HMP2_J08163_M_ST_T0_B0_0120_ZOZOW1T-6016_HCG2MBGXX_S16
5741,HMP2_J08164_M_ST_T0_B0_0120_ZOZOW1T-6016.1_HCG2MBGXX_S17
5742,HMP2_J08165_M_ST_T0_B0_0120_ZOZOW1T-6016.2_HCG2MBGXX_S18
5743,HMP2_J08166_M_ST_T0_B0_0120_ZOZOW1T-6016.3_HCG2MBGXX_S19
5744,HMP2_J08167_M_ST_T0_B0_0120_ZVNCGHM-02_HCG2MBGXX_S20
5745,HMP2_J08168_M_ST_T0_B0_0120_ZVNCGHM-6012_HCG2MBGXX_S21
5746,HMP2_J08169_M_ST_T0_B0_0120_ZVNCGHM-6013_HCG2MBGXX_S22
5747,HMP2_J08170_M_ST_T0_B0_0120_ZVNCGHM-6014_HCG2MBGXX_S23
5748,HMP2_J08171_M_ST_T0_B0_0120_ZVNCGHM-6015_HCG2MBGXX_S24
5749,HMP2_J08172_M_ST_T0_B0_0120_ZVNCGHM-6016_HCG2MBGXX_S25
5750,HMP2_J09104_M_ST_T0_B0_0120_ZM7JY3G-05_C8GAAANXX
5751,HMP2_J09104_M_ST_T0_B0_0120_ZM7JY3G-05_H7FHFBGXX_S36
5752,HMP2_J09105_M_ST_T0_B0_0120_ZM7JY3G-07_C8GAAANXX
5753,HMP2_J09105_M_ST_T0_B0_0120_ZM7JY3G-07_H7FHFBGXX_S37
5754,HMP2_J09110_M_ST_T0_B0_0120_ZKVR426-07-AL1_C8GAAANXX
5755,HMP2_J09110_M_ST_T0_B0_0120_ZKVR426-07-AL1_H7FHFBGXX_S42
5756,HMP2_J09111_M_ST_T0_B0_0120_ZKFV71L-05X_C8GAAANXX
5757,HMP2_J09111_M_ST_T0_B0_0120_ZKFV71L-05X_H7FHFBGXX_S43
5758,HMP2_J09112_M_ST_T0_B0_0120_ZK4CK8Y-05_C8GAAANXX
5759,HMP2_J09112_M_ST_T0_B0_0120_ZK4CK8Y-05_H7FHFBGXX_S44
5760,HMP2_J09113_M_ST_T0_B0_0120_ZK4CK8Y-06_C8GAAANXX
5761,HMP2_J09113_M_ST_T0_B0_0120_ZK4CK8Y-06_H7FHFBGXX_S45
5762,HMP2_J09115_M_ST_T0_B0_0120_ZLGD9M0-08_C93B2ANXX
5763,HMP2_J09116_M_ST_T0_B0_0120_ZLGD9M0-09_C93B2ANXX
5764,HMP2_J09117_M_ST_T0_B0_0120_ZL9BTWF-09_C93B2ANXX
5765,HMP2_J09118_M_ST_T0_B0_0120_ZL9BTWF-1022_C93B2ANXX
5766,HMP2_J09120_M_ST_T0_B0_0120_ZL9BTWF-1024_C93B2ANXX
5767,HMP2_J09121_M_ST_T0_B0_0120_ZL9BTWF-1025_C93B2ANXX
5768,HMP2_J09130_M_ST_T0_B0_0120_ZMGT937-04_C93B2ANXX
5769,HMP2_J09131_M_ST_T0_B0_0120_ZMGT937-05_C93B2ANXX
5770,HMP2_J09132_M_ST_T0_B0_0120_ZMGT937-1011_C93B2ANXX
5771,HMP2_J09133_M_ST_T0_B0_0120_ZMGT937-1012_C93B2ANXX
5772,HMP2_J09149_M_ST_T0_B0_0120_ZLZNCLZ-1021_C93B2ANXX
5773,HMP2_J09150_M_ST_T0_B0_0120_ZLZNCLZ-1023_C93B2ANXX
5774,HMP2_J09152_M_ST_T0_B0_0120_ZYHHR4Z-01_C93B2ANXX
5775,HMP2_J09153_M_ST_T0_B0_0120_ZYHHR4Z-02_C93B2ANXX_J43964
5776,HMP2_J09153_M_ST_T0_B0_0120_ZYHHR4Z-02_C93B2ANXX_J43965
5777,HMP2_J09155_M_ST_T0_B0_0120_ZYHHR4Z-1024_C93B2ANXX
5778,HMP2_J15231_M_ST_T0_B0_0120_ZY7IW45-02_BHLVVGADXX
5779,HMP2_J15231_M_ST_T0_B0_0120_ZY7IW45-02_C8GAAANXX
5780,HMP2_J15231_M_ST_T0_B0_0120_ZY7IW45-02_GES15-03627
5781,HMP2_J15232_M_ST_T0_B0_0120_ZY7IW45-03_BHLVVGADXX
5782,HMP2_J15232_M_ST_T0_B0_0120_ZY7IW45-03_GES15-03628
5783,HMP2_J15233_M_ST_T0_B0_0120_ZY7IW45-04_BHLVVGADXX
5784,HMP2_J15233_M_ST_T0_B0_0120_ZY7IW45-04_GES15-03629
5785,HMP2_J15234_M_ST_T0_B0_0120_ZWCZHHY-01_BHLVVGADXX
5786,HMP2_J15234_M_ST_T0_B0_0120_ZWCZHHY-01_GES15-03630
5787,HMP2_J15235_M_ST_T0_B0_0120_ZWCZHHY-02_BHLVVGADXX
5788,HMP2_J15235_M_ST_T0_B0_0120_ZWCZHHY-02_GES15-03631
5789,HMP2_J15236_M_ST_T0_B0_0120_ZWCZHHY-03_BHLVVGADXX
5790,HMP2_J15236_M_ST_T0_B0_0120_ZWCZHHY-03_GES15-03632
5791,HMP2_J15237_M_ST_T0_B0_0120_ZW61YGW-01_BHLVVGADXX
5792,HMP2_J15237_M_ST_T0_B0_0120_ZW61YGW-01_C8GAAANXX
5793,HMP2_J15237_M_ST_T0_B0_0120_ZW61YGW-01_GES15-03633
5794,HMP2_J15238_M_ST_T0_B0_0120_ZW61YGW-02_BHLVVGADXX
5795,HMP2_J15238_M_ST_T0_B0_0120_ZW61YGW-02_C8GAAANXX
5796,HMP2_J15238_M_ST_T0_B0_0120_ZW61YGW-02_GES15-03634
5797,HMP2_J15239_M_ST_T0_B0_0120_ZW61YGW-03_BHLVVGADXX
5798,HMP2_J15239_M_ST_T0_B0_0120_ZW61YGW-03_GES15-03635
5799,HMP2_J15240_M_ST_T0_B0_0120_ZYXQKWY-01_BHLVVGADXX
5800,HMP2_J15240_M_ST_T0_B0_0120_ZYXQKWY-01_GES15-03636
5801,HMP2_J15241_M_ST_T0_B0_0120_ZYXQKWY-02_BHLVVGADXX
5802,HMP2_J15241_M_ST_T0_B0_0120_ZYXQKWY-02_GES15-03637
5803,HMP2_J15242_M_ST_T0_B0_0120_ZYXQKWY-03_BHLVVGADXX
5804,HMP2_J15242_M_ST_T0_B0_0120_ZYXQKWY-03_GES15-03638
5805,HMP2_J15243_M_ST_T0_B0_0120_ZVM4N7A-01_HMNVCBGXX_S19
5806,HMP2_J15244_M_ST_T0_B0_0120_ZVM4N7A-02_BHLVVGADXX
5807,HMP2_J15244_M_ST_T0_B0_0120_ZVM4N7A-02_GES15-03639
5808,HMP2_J15245_M_ST_T0_B0_0120_ZVGW5FI-01_BHLVVGADXX
5809,HMP2_J15245_M_ST_T0_B0_0120_ZVGW5FI-01_GES15-03640
5810,HMP2_J15246_M_ST_T0_B0_0120_ZVGW5FI-02_BHLVVGADXX
5811,HMP2_J15246_M_ST_T0_B0_0120_ZVGW5FI-02_GES15-03641
5812,HMP2_J16506_M_ST_T0_B0_0120_ZOZOW1T-61_C93B2ANXX
5813,HMP2_J16506_M_ST_T0_B0_0120_ZOZOW1T-61_HLH73BGXX_S1
5814,HMP2_J16507_M_ST_T0_B0_0120_ZOZOW1T-62_C93B2ANXX
5815,HMP2_J16507_M_ST_T0_B0_0120_ZOZOW1T-62_HLH73BGXX_S2
5816,HMP2_J16508_M_ST_T0_B0_0120_ZOZOW1T-63_C93B2ANXX
5817,HMP2_J16508_M_ST_T0_B0_0120_ZOZOW1T-63_HLH73BGXX_S3
5818,HMP2_J16509_M_ST_T0_B0_0120_ZOZOW1T-64_C93B2ANXX
5819,HMP2_J16509_M_ST_T0_B0_0120_ZOZOW1T-64_HLH73BGXX_S4
5820,HMP2_J16510_M_ST_T0_B0_0120_ZOZOW1T-65_HLH73BGXX_S5
5821,HMP2_J16511_M_ST_T0_B0_0120_ZOZOW1T-66_HLH73BGXX_S6
5822,HMP2_J16512_M_ST_T0_B0_0120_ZOZOW1T-68_HLH73BGXX_S7
5823,HMP2_J16513_M_ST_T0_B0_0120_ZOZOW1T-70_HLH73BGXX_S8
5824,HMP2_J16514_M_ST_T0_B0_0120_ZOZOW1T-71_HLH73BGXX_S9
5825,HMP2_J16515_M_ST_T0_B0_0120_ZOZOW1T-80_HLH73BGXX_S10
5826,HMP2_J16516_M_ST_T0_B0_0120_ZOZOW1T-83_HLH73BGXX_S11
5827,HMP2_J16517_M_ST_T0_B0_0120_ZOZOW1T-84_HLH73BGXX_S12
5828,HMP2_J16518_M_ST_T0_B0_0120_ZOZOW1T-84b_HLH73BGXX_S13
5829,HMP2_J16519_M_ST_T0_B0_0120_ZOZOW1T-1010_HLH73BGXX_S14
5830,HMP2_J16520_M_ST_T0_B0_0120_ZOZOW1T-1011_HLH73BGXX_S15
5831,HMP2_J16521_M_ST_T0_B0_0120_ZOZOW1T-1012_HLH73BGXX_S16
5832,HMP2_J16522_M_ST_T0_B0_0120_ZOZOW1T-1015_HLH73BGXX_S17
5833,HMP2_J16523_M_ST_T0_B0_0120_ZOZOW1T-6021_HLH73BGXX_S18
5834,HMP2_J16524_M_ST_T0_B0_0120_ZOZOW1T-6022_HLH73BGXX_S19
5835,HMP2_J16525_M_ST_T0_B0_0120_ZOZOW1T-6023_HLH73BGXX_S20
5836,HMP2_J16526_M_ST_T0_B0_0120_ZOZOW1T-6023b_HLH73BGXX_S21
5837,HMP2_J16527_M_ST_T0_B0_0120_ZOZOW1T-2001_HLH73BGXX_S22
5838,HMP2_J16528_M_ST_T0_B0_0120_ZOZOW1T-2002_HLH73BGXX_S23
5839,HMP2_J16529_M_ST_T0_B0_0120_ZOZOW1T-46_HLH73BGXX_S24
5840,HMP2_J16530_M_ST_T0_B0_0120_ZWCZHHY-04_HK3LNBGXX_S1
5841,HMP2_J16531_M_ST_T0_B0_0120_ZVGW5FI-03_HK3LNBGXX_S2
5842,HMP2_J28634_M_ST_T0_B0_0120_ZLZNCLZ-2015_C93B2ANXX
5843,HMP2_J35165_M_ST_T0_B0_0120_ZMBH10Z-04_HBB8WADXX
5844,HMP2_J43802_M_ST_T0_B0_0120_ZMGT937-06_C93B2ANXX
5845,HMP2_J43804_M_ST_T0_B0_0120_ZLZNCLZ-06_C93B2ANXX
5846,HMP2_J43805_M_ST_T0_B0_0120_ZLZNCLZ-08_C93B2ANXX
5847,HMP2_J43806_M_ST_T0_B0_0120_ZLZNCLZ-10_C93B2ANXX
5848,HMP2_J43807_M_ST_T0_B0_0120_ZLZNCLZ-1032_C93B2ANXX
5849,HMP2_J43808_M_ST_T0_B0_0120_ZLZNCLZ-1033_C93B2ANXX
5850,HMP2_J43809_M_ST_T0_B0_0120_ZLZNCLZ-1035_C93B2ANXX
5851,HMP2_J43810_M_ST_T0_B0_0120_ZLZNCLZ-1036_C93B2ANXX
5852,HMP2_J43812_M_ST_T0_B0_0120_ZYLJ7R7-01_C93B2ANXX
5853,HMP2_J43813_M_ST_T0_B0_0120_ZYLJ7R7-02_C93B2ANXX
5854,HMP2_J43814_M_ST_T0_B0_0120_ZYLJ7R7-03_C93B2ANXX
5855,HMP2_J43815_M_ST_T0_B0_0120_ZYLJ7R7-06_C93B2ANXX
5856,HMP2_J43816_M_ST_T0_B0_0120_ZYLJ7R7-1014_C93B2ANXX
5857,HMP2_J43817_M_ST_T0_B0_0120_ZYLJ7R7-4012_C93B2ANXX
5858,HMP2_J43818_M_ST_T0_B0_0120_ZYLJ7R7-4013_C93B2ANXX
5859,HMP2_J43819_M_ST_T0_B0_0120_ZYHHR4Z-05_C93B2ANXX
5860,HMP2_J43820_M_ST_T0_B0_0120_ZYHHR4Z-06_C93B2ANXX
5861,HMP2_J43821_M_ST_T0_B0_0120_ZX52KVK-04_C93B2ANXX
5862,HMP2_J43822_M_ST_T0_B0_0120_ZX52KVK-1034_C93B2ANXX
5863,HMP2_J43823_M_ST_T0_B0_0120_ZX52KVK-1021_C93B2ANXX
5864,HMP2_J43824_M_ST_T0_B0_0120_ZX52KVK-1022_C93B2ANXX
5865,HMP2_J43825_M_ST_T0_B0_0120_ZX52KVK-1032_C93B2ANXX
5866,HMP2_J43826_M_ST_T0_B0_0120_ZX52KVK-1033_C93B2ANXX
5867,HMP2_J43827_M_ST_T0_B0_0120_ZVBQY1N-01_C93B2ANXX
5868,HMP2_J43828_M_ST_T0_B0_0120_ZVBQY1N-1014_C93B2ANXX
5869,HMP2_J43829_M_ST_T0_B0_0120_ZVBQY1N-1015_C93B2ANXX
5870,HMP2_J43830_M_ST_T0_B0_0120_ZVBQY1N-1021_C93B2ANXX
5871,HMP2_J43831_M_ST_T0_B0_0120_ZVBQY1N-1022_C93B2ANXX
5872,HMP2_J43832_M_ST_T0_B0_0120_ZVBQY1N-1023_C93B2ANXX
5873,HMP2_J43833_M_ST_T0_B0_0120_ZVBQY1N-1024_C93B2ANXX
5874,HMP2_J43834_M_ST_T0_B0_0120_ZVBQY1N-1025_C93B2ANXX
5875,HMP2_J43835_M_ST_T0_B0_0120_ZVBQY1N-6011_C93B2ANXX
5876,HMP2_J43836_M_ST_T0_B0_0120_ZVBQY1N-6012_C93B2ANXX
5877,HMP2_J43837_M_ST_T0_B0_0120_ZVBQY1N-6013_C93B2ANXX
5878,HMP2_J43838_M_ST_T0_B0_0120_ZVBQY1N-6014_C93B2ANXX
5879,HMP2_J43839_M_ST_T0_B0_0120_ZVBQY1N-6015_C93B2ANXX
5880,HMP2_J43840_M_ST_T0_B0_0120_ZVBQY1N-6016_C93B2ANXX
5881,HMP2_J43841_M_ST_T0_B0_0120_ZTLUDS8-1014_C93B2ANXX
5882,HMP2_J43842_M_ST_T0_B0_0120_ZTLUDS8-1015_C93B2ANXX
5883,HMP2_J43843_M_ST_T0_B0_0120_ZTLUDS8-1013-AL1_C93B2ANXX
5884,HMP2_J43844_M_ST_T0_B0_0120_ZL9BTWF-1022_C93B2ANXX
5885,HMP2_J43845_M_ST_T0_B0_0120_ZL9BTWF-1023-AL2_C93B2ANXX
5886,HMP2_J45659_M_ST_T0_B0_0120_ZMGT937-07_C93B2ANXX
5981,SAMEA104142324
5982,SAMEA104142316
5983,SAMEA104142314
5984,SAMEA104142312
5985,SAMEA104142471
5986,SAMEA104142470
5987,SAMEA104142469
5988,SAMEA104142468
5989,SAMEA104142467
5990,SAMEA104142466
5991,SAMEA104142465
5992,SAMEA104142464
5993,SAMEA104142463
5994,SAMEA104142460
5995,SAMEA104142462
5996,SAMEA104142459
5997,SAMEA104142461
5998,SAMEA104142458
5999,SAMEA104142447
6000,SAMEA104142457
6001,SAMEA104142456
6002,SAMEA104142474
6003,SAMEA104142455
6004,SAMEA104142446
6005,SAMEA104142445
6006,SAMEA104142444
6007,SAMEA104142442
6008,SAMEA104142441
6009,SAMEA104142440
6010,SAMEA104142439
6011,SAMEA104142438
6012,SAMEA104142437
6013,SAMEA104142436
6014,SAMEA104142435
6015,SAMEA104142434
6016,SAMEA104142433
6017,SAMEA104142432
6018,SAMEA104142431
6019,SAMEA104142430
6020,SAMEA104142429
6021,SAMEA104142473
6022,SAMEA104142428
6023,SAMEA104142427
6024,SAMEA104142426
6025,SAMEA104142425
6026,SAMEA104142424
6027,SAMEA104142476
6028,SAMEA104142475
6029,SAMEA104142423
6030,SAMEA104142422
6031,SAMEA104142421
6032,SAMEA104142420
6033,SAMEA104142419
6034,SAMEA104142418
6035,SAMEA104142415
6036,SAMEA104142414
6037,SAMEA104142413
6038,SAMEA104142412
6039,SAMEA104142410
6040,SAMEA104142417
6041,SAMEA104142411
6042,SAMEA104142090
6043,SAMEA104142091
6044,SAMEA104142092
6045,SAMEA104142093
6046,SAMEA104142094
6047,SAMEA104142095
6048,SAMEA104142096
6049,SAMEA104142313
6050,SAMEA104142079
6051,SAMEA104142080
6052,SAMEA104142081
6053,SAMEA104142082
6054,SAMEA104142083
6055,SAMEA104142084
6056,SAMEA104142085
6057,SAMEA104142154
6058,SAMEA104142155
6059,SAMEA104142156
6060,SAMEA104142157
6061,SAMEA104142158
6062,SAMEA104142159
6063,SAMEA104142160
6064,SAMEA104142161
6065,SAMEA104142162
6066,SAMEA104142163
6067,SAMEA104142164
6068,SAMEA104142165
6069,SAMEA104142166
6070,SAMEA104142167
6071,SAMEA104142168
6072,SAMEA104142169
6073,SAMEA104142170
6074,SAMEA104142171
6075,SAMEA104142172
6076,SAMEA104142173
6077,SAMEA104142310
6078,SAMEA104142174
6079,SAMEA104142175
6080,SAMEA104142176
6081,SAMEA104142177
6082,SAMEA104142178
6083,SAMEA104142179
6084,SAMEA104142180
6085,SAMEA104142181
6086,SAMEA104142182
6087,SAMEA104142183
6088,SAMEA104142184
6089,SAMEA104142185
6090,SAMEA104142186
6091,SAMEA104142187
6092,SAMEA104142188
6093,SAMEA104142189
6094,SAMEA104142190
6095,SAMEA104142191
6096,SAMEA104142192
6097,SAMEA104142193
6098,SAMEA104142194
6099,SAMEA104142195
6100,SAMEA104142196
6101,SAMEA104142197
6102,SAMEA104142198
6103,SAMEA104142086
6104,SAMEA104142199
6105,SAMEA104142200
6106,SAMEA104142201
6107,SAMEA104142202
6108,SAMEA104142203
6109,SAMEA104142204
6110,SAMEA104142205
6111,SAMEA104142206
6112,SAMEA104142207
6113,SAMEA104142208
6114,SAMEA104142209
6115,SAMEA104142317
6116,SAMEA104142280
6117,SAMEA104142237
6118,SAMEA104142238
6119,SAMEA104142239
6120,SAMEA104142321
6121,SAMEA104142311
6122,SAMEA104142240
6123,SAMEA104142241
6124,SAMEA104142309
6125,SAMEA104142242
6126,SAMEA104142243
6127,SAMEA104142244
6128,SAMEA104142318
6129,SAMEA104142245
6130,SAMEA104142246
6131,SAMEA104142247
6132,SAMEA104142306
6133,SAMEA104142305
6134,SAMEA104142304
6135,SAMEA104142286
6136,SAMEA104142279
6137,SAMEA104142282
6138,SAMEA104142319
6139,SAMEA104142281
6140,SAMEA104142322
6141,SAMEA104142315
6142,SAMEA104142248
6143,SAMEA104142249
6144,SAMEA104142250
6145,SAMEA104142251
6146,SAMEA104142252
6147,SAMEA104142253
6148,SAMEA104142254
6149,SAMEA104142255
6150,SAMEA104142256
6151,SAMEA104142257
6152,SAMEA104142258
6153,SAMEA104142259
6154,SAMEA104142260
6155,SAMEA104142261
6156,SAMEA104142262
6157,SAMEA104142263
6158,SAMEA104142264
6159,SAMEA104142265
6160,SAMEA104142266
6161,SAMEA104142267
6162,SAMEA104142268
6163,SAMEA104142269
6164,SAMEA104142270
6165,SAMEA104142271
6166,SAMEA104142272
6167,SAMEA104142273
6168,SAMEA104142274
6169,SAMEA104142275
6170,SAMEA104142276
6171,SAMEA104142277
6172,SAMEA104142278
6173,SAMEA104142303
6174,SAMEA104142289
6175,SAMEA104142283
6176,SAMEA104142292
6177,SAMEA104142307
6178,SAMEA104142308
6179,SAMEA104142290
6180,SAMEA104142302
6181,SAMEA104142301
6182,SAMEA104142300
6183,SAMEA104142299
6184,SAMEA104142285
6185,SAMEA104142298
6186,SAMEA104142297
6187,SAMEA104142296
6188,SAMEA104142295
6189,SAMEA104142294
6190,SAMEA104142284
6191,SAMEA104142291
6192,SAMEA104142293
6193,SAMEA104142288
6194,SAMEA104142287
6195,SAMEA104142087
6196,SAMEA104142088
6197,SAMEA104142089
6198,SAMEA104142097
6199,SAMEA104142098
6200,SAMEA104142099
6201,SAMEA104142103
6202,SAMEA104142104
6203,SAMEA104142105
6204,SAMEA104142100
6205,SAMEA104142106
6206,SAMEA104142107
6207,SAMEA104142102
6208,SAMEA104142110
6209,SAMEA104142072
6210,SAMEA104142073
6211,SAMEA104142074
6212,SAMEA104142111
6213,SAMEA104142112
6214,SAMEA104142113
6215,SAMEA104142114
6216,SAMEA104142115
6217,SAMEA104142116
6218,SAMEA104142117
6219,SAMEA104142118
6220,SAMEA104142119
6221,SAMEA104142075
6222,SAMEA104142120
6223,SAMEA104142121
6224,SAMEA104142122
6225,SAMEA104142076
6226,SAMEA104142123
6227,SAMEA104142124
6228,SAMEA104142125
6229,SAMEA104142126
6230,SAMEA104142127
6231,SAMEA104142128
6232,SAMEA104142129
6233,SAMEA104142130
6234,SAMEA104142131
6235,SAMEA104142132
6236,SAMEA104142133
6237,SAMEA104142134
6238,SAMEA104142135
6239,SAMEA104142136
6240,SAMEA104142137
6241,SAMEA104142138
6242,SAMEA104142139
6243,SAMEA104142140
6244,SAMEA104142141
6245,SAMEA104142142
6246,SAMEA104142143
6247,SAMEA104142144
6248,SAMEA104142145
6249,SAMEA104142146
6250,SAMEA104142147
6251,SAMEA104142148
6252,SAMEA104142149
6253,SAMEA104142150
6254,SAMEA104142151
6255,SAMEA104142152
6256,SAMEA104142153
6257,SAMEA104142077
6258,SAMEA104142078
6259,SAMEA104142210
6260,SAMEA104142211
6261,SAMEA104142218
6262,SAMEA104142212
6263,SAMEA104142219
6264,SAMEA104142213
6265,SAMEA104142220
6266,SAMEA104142214
6267,SAMEA104142215
6268,SAMEA104142217
6269,SAMEA104142221
6270,SAMEA104142216
6271,SAMEA104142223
6272,SAMEA104142409
6273,SAMEA104142448
6274,SAMEA104142408
6275,SAMEA104142407
6276,SAMEA104142406
6277,SAMEA104142405
6278,SAMEA104142404
6279,SAMEA104142402
6280,SAMEA104142401
6281,SAMEA104142400
6282,SAMEA104142398
6283,SAMEA104142397
6284,SAMEA104142225
6285,SAMEA104142395
6286,SAMEA104142452
6287,SAMEA104142451
6288,SAMEA104142226
6289,SAMEA104142391
6290,SAMEA104142390
6291,SAMEA104142388
6292,SAMEA104142387
6293,SAMEA104142386
6294,SAMEA104142385
6295,SAMEA104142384
6296,SAMEA104142383
6297,SAMEA104142382
6298,SAMEA104142381
6299,SAMEA104142380
6300,SAMEA104142379
6301,SAMEA104142472
6302,SAMEA104142378
6303,SAMEA104142377
6304,SAMEA104142376
6305,SAMEA104142375
6306,SAMEA104142227
6307,SAMEA104142228
6308,SAMEA104142229
6309,SAMEA104142230
6310,SAMEA104142231
6311,SAMEA104142232
6312,SAMEA104142233
6313,SAMEA104142234
6314,SAMEA104142235
6315,SAMEA104142236
6316,SAMEA104142222
6317,SAMEA104142334
6318,SAMEA104142335
6319,SAMEA104142333
6320,SAMEA104142329
6321,SAMEA104142328
6322,SAMEA104142339
6323,SAMEA104142341
6324,SAMEA104142337
6325,SAMEA104142327
6326,SAMEA104142330
6327,SAMEA104142331
6328,SAMEA104142326
6329,SAMEA104142332
6330,SAMEA104142325
6331,SAMEA104142336
6332,SAMEA104142338
6333,SAMEA104142340
6334,SAMEA104142342
6335,SAMEA104142343
6336,SAMEA104142344
6337,SAMEA104142345
6338,SAMEA104142346
6339,SAMEA104142347
6340,SAMEA104142348
6341,SAMEA104142349
6342,SAMEA104142350
6343,SAMEA104142351
6344,SAMEA104142352
6345,SAMEA104142353
6346,SAMEA104142354
6347,SAMEA104142355
6348,SAMEA104142356
6349,SAMEA104142357
6350,SAMEA104142358
6351,SAMEA104142359
6352,SAMEA104142361
6353,SAMEA104142362
6354,SAMEA104142363
6355,SAMEA104142364
6356,SAMEA104142365
6357,SAMEA104142366
6358,SAMEA104142367
6359,SAMEA104142368
6360,SAMEA104142369
6361,SAMEA104142370
6362,SAMEA104142371
6363,SAMEA104142372
6364,SAMEA104142373
6365,SAMEA104142374
7098,EGAR00001420100_9002000001328080LL
7099,EGAR00001420101_2009000001576810
7100,EGAR00001420102_2009000001589950
7101,EGAR00001420105_9002000001162644
7102,EGAR00001420106_9002000001166269
7103,EGAR00001420107_9002000001166652
7104,EGAR00001420109_9002000001169770
7105,EGAR00001420110_9002000001171133
7106,EGAR00001420112_9002000001172112
7107,EGAR00001420113_9002000001172687
7108,EGAR00001420114_9002000001174215
7109,EGAR00001420125_9002000001180016
7110,EGAR00001420126_9002000001180295
7111,EGAR00001420127_9002000001183161
7112,EGAR00001420128_9002000001184329
7113,EGAR00001420129_9002000001184570
7114,EGAR00001420130_9002000001184801
